original_name,Synonym
Lycopodium clavatum,Lycopodium clavatum
Lysichiton americanus,Lysichiton americanus
Mahonia aquifolium,Mahonia aquifolium
Mahonia nervosa,Berberis nervosa
Maianthemum dilatatum,Maianthemum dilatatum
Malus fusca,Malus fusca
Mentha arvensis,Mentha arvensis
Menziesia ferruginea,Menziesia ferruginea
Moneses uniflora,Moneses uniflora
Monotropa uniflora,Monotropa uniflora
Myrica gale,Myrica gale
Nicotiana attenuata,Nicotiana attenuata
Nicotiana quadrivalvis,Nicotiana quadrivalvis
Nicotiana tabacum,Nicotiana tabacum
Nuphar lutea,Nuphar lutea
Oemleria cerasiformis,Oemleria cerasiformis
Oenanthe sarmentosa,Oenanthe sarmentosa
Oplopanax horridus,Oplopanax horridus
Opuntia fragilis,Opuntia fragilis
Opuntia polyacantha,Opuntia polyacantha
Osmorhiza berteroi,Osmorhiza berteroi
Osmorhiza occidentalis,Osmorhiza occidentalis
Oxalis oregana,Oxalis oregana
Oxyria digyna,Oxyria digyna
Paxistima myrsinites,Paxistima myrsinites
Penstemon fruticosus,Penstemon fruticosus
Perideridia gairdneri,Perideridia gairdneri
Petasites frigidus,Petasites frigidus
Phalaris arundinacea,Phalaris arundinacea
Philadelphus lewisii,Philadelphus lewisii
Phyllospadix scouleri,Phyllospadix iwatensis
Physocarpus capitatus,Physocarpus capitatus
Physocarpus malvaceus,Physocarpus malvaceus
Picea engelmannii,Picea engelmannii
Picea glauca,Picea glauca
Picea mariana,Picea mariana
Picea sitchensis,Picea sitchensis
Pinus albicaulis,Pinus albicaulis
Pinus contorta,Pinus contorta
Pinus monticola,Pinus monticola
Pinus ponderosa,Pinus ponderosa
Plantago major,Plantago major
Plantago maritima,Plantago maritima
Platanthera dilatata,Platanthera dilatata
Platanthera stricta,Platanthera dilatata
Polypodium glycyrrhiza,Polypodium vulgare
Polystichum munitum,Polystichum munitum
Populus balsamifera ssp. balsamifera,Populus balsamifera
Populus tremuloides,Populus tremuloides
Potamogeton natans,Potamogeton natans
Prunus emarginata,Prunus emarginata
Prunus pensylvanica,Prunus pensylvanica
Prunus virginiana,Prunus virginiana
Pseudoroegneria spicata,Elymus spicatus
Pseudotsuga menziesii,Pseudotsuga menziesii
Pteridium aquilinum,Pteridium aquilinum
Pterospora andromedea,Pterospora andromedea
Purshia tridentata,Purshia tridentata
Pyrola asarifolia,Pyrola asarifolia
Quercus garryana,Quercus garryana
Ranunculus acris,Ranunculus acris
Ranunculus glaberrimus,Ranunculus glaberrimus
Ranunculus occidentalis,Ranunculus occidentalis
Rhodiola rosea,Rhodiola rosea var. rosea
Rhododendron albiflorum,Rhododendron albiflorum
Rhus glabra,Rhus glabra
Ribes aureum,Ribes aureum
Ribes bracteosum,Ribes bracteosum
Ribes cereum,Ribes cereum
Ribes divaricatum,Ribes divaricatum
Ribes glandulosum,Ribes glandulosum
Ribes hudsonianum,Ribes hudsonianum
Ribes inerme,Ribes inerme
Ribes lacustre,Ribes lacustre
Ribes laxiflorum,Ribes laxiflorum
Ribes lobbii,Ribes lobbii
