Synonym,Family,LDMC (g/g),Plant height (m),Nmass (mg/g),Leaf area (mm2),Woodiness,Diaspore mass (mg),N_Names,N_Langs,N_Uses,Species,Ssp_var
Ranunculus acris,Ranunculaceae,186.150573339905,0.351530095,25.73587504,595.19,non-woody,1.4466,10,4,14,Ranunculus acris,NA
Ranunculus glaberrimus,Ranunculaceae,NA,0.15,NA,NA,non-woody,4.7958,20,9,6,Ranunculus glaberrimus,NA
Ranunculus occidentalis,Ranunculaceae,NA,NA,NA,NA,non-woody,2.4886,10,4,2,Ranunculus occidentalis,NA
Rhodiola rosea,Crassulaceae,104.25,0.166666666666667,3.121289024,167,non-woody,0.15,10,4,12,Rhodiola rosea,NA
Rhododendron albiflorum,Ericaceae,NA,1.82,NA,NA,woody,0.0812,5,3,12,Rhododendron albiflorum,NA
Rhododendron columbianum,Ericaceae,NA,NA,NA,NA,NA,NA,92,43,2,Rhododendron columbianum,NA
Rhododendron groenlandicum,Ericaceae,NA,NA,NA,NA,NA,NA,92,43,96,Rhododendron groenlandicum,NA
Rhus glabra,Anacardiaceae,41.00164505,2.847025404,17.72816213,7137.6,woody,8.3723,7,6,108,Rhus glabra,NA
Ribes aureum,Grossulariaceae,NA,1.775443065,NA,NA,woody,2.3226,9,6,22,Ribes aureum,NA
Ribes bracteosum,Grossulariaceae,NA,0.8,NA,NA,woody,NA,52,26,24,Ribes bracteosum,NA
Ribes cereum,Grossulariaceae,NA,0.91,NA,NA,woody,1.7009,16,8,21,Ribes cereum,NA
Ribes divaricatum,Grossulariaceae,NA,3.2,22.8,1198,woody,2.06,89,41,40,Ribes divaricatum,NA
Ribes glandulosum,Grossulariaceae,NA,0.8,NA,2422.52,woody,NA,52,21,6,Ribes glandulosum,NA
Ribes hudsonianum,Grossulariaceae,NA,1.52,NA,NA,woody,0.5273,34,19,24,Ribes hudsonianum,NA
Ribes inerme,Grossulariaceae,NA,2.43,NA,NA,woody,1.4998,89,41,7,Ribes inerme,NA
Ribes lacustre,Grossulariaceae,NA,0.91,NA,NA,woody,0.8954,75,31,40,Ribes lacustre,NA
Ribes laxiflorum,Grossulariaceae,NA,0.8,NA,NA,woody,NA,52,21,19,Ribes laxiflorum,NA
Ribes lobbii,Grossulariaceae,NA,NA,NA,NA,NA,NA,89,41,16,Ribes lobbii,NA
Ribes oxyacanthoides,Grossulariaceae,NA,NA,NA,NA,woody,1.22,89,41,13,Ribes oxyacanthoides,NA
Ribes sanguineum,Grossulariaceae,NA,1.827626261,25.4,3295,woody,2.4805,26,11,17,Ribes sanguineum,NA
Ribes triste,Grossulariaceae,NA,0.6,NA,NA,woody,2.1,19,9,22,Ribes triste,NA
Rosa acicularis,Rosaceae,NA,1.21,10.64706532,NA,woody,12.4362,164,57,67,Rosa acicularis,NA
Rosa gymnocarpa,Rosaceae,NA,0.91,NA,NA,woody,19.8729,28,11,33,Rosa gymnocarpa,NA
Rosa nutkana,Rosaceae,NA,3.04,NA,NA,woody,11.8379,164,57,71,Rosa nutkana,NA
Rosa pisocarpa,Rosaceae,NA,0.91,NA,NA,woody,4.6664,164,57,25,Rosa pisocarpa,NA
Rosa woodsii,Rosaceae,NA,0.995671983,14.91,714.9,woody,7.9235,164,57,60,Rosa woodsii,NA
Rubus arcticus,Rosaceae,NA,0.3,NA,NA,non-woody,1.67,17,7,14,Rubus arcticus,NA
Rubus chamaemorus,Rosaceae,0.259069653,0.103487298,21.87553983,1923.79,non-woody,8.0548,27,14,33,Rubus chamaemorus,NA
Rubus idaeus,Rosaceae,192.625601433656,0.939938363,23.31509906,2198.09,woody,1.7657,77,42,72,Rubus idaeus,NA
Rubus leucodermis,Rosaceae,NA,0.3,NA,NA,woody,0.9941,66,30,68,Rubus leucodermis,NA
Rubus parviflorus,Rosaceae,NA,1.475804865,21.9,15257,woody,1.1531,152,49,103,Rubus parviflorus,NA
Rubus pedatus,Rosaceae,NA,NA,NA,NA,NA,NA,21,12,5,Rubus pedatus,NA
Rubus pubescens,Rosaceae,NA,NA,19.32149063,4175.16,woody,NA,12,7,13,Rubus pubescens,NA
Rubus spectabilis,Rosaceae,NA,3.079363449,NA,NA,woody,3.158,170,41,99,Rubus spectabilis,NA
Rubus ursinus,Rosaceae,NA,1.2,20.1,1793,woody,1.9077,65,27,24,Rubus ursinus,NA
Rumex aquaticus,Polygonaceae,0.14,1.074755854,35.52,21992.29,non-woody,2.1067,35,24,25,Rumex aquaticus,NA
Sagittaria cuneata,Alismataceae,NA,0.79,NA,NA,non-woody,1.1629,34,17,13,Sagittaria cuneata,NA
Sagittaria latifolia,Alismataceae,NA,1.49,NA,1321.57,non-woody,6.75,34,17,34,Sagittaria latifolia,NA
Salix bebbiana,Salicaceae,NA,4.36592131,21.1,NA,woody,0.18,118,49,22,Salix bebbiana,NA
Salix discolor,Salicaceae,NA,6.9828361,NA,1484.53,woody,0.32,118,49,27,Salix discolor,NA
Salix exigua,Salicaceae,NA,5.513619501,NA,NA,woody,0.0621,17,7,57,Salix exigua,NA
Salix hookeriana,Salicaceae,NA,7.92,NA,NA,woody,NA,118,49,10,Salix hookeriana,NA
Salix lucida,Salicaceae,NA,10.81287166,29.6,1974,woody,0.0825,39,25,8,Salix lucida,NA
Salix scouleriana,Salicaceae,NA,8.479071929,NA,NA,woody,0.0624,118,49,33,Salix scouleriana,NA
Salix sitchensis,Salicaceae,NA,7.01,NA,NA,woody,0.0621,118,49,28,Salix sitchensis,NA
Sambucus nigra,Adoxaceae,161.55174082934099,4.513290405,35.90688506,1060.6,woody,3.1067,38,23,13,Sambucus nigra,NA
Sambucus racemosa,Adoxaceae,176.761666666667,2.439435479,52.356573,1868.02,woody,1.8391,97,43,72,Sambucus racemosa,NA
Schoenoplectus acutus,Cyperaceae,NA,2.98,NA,NA,non-woody,2.19,59,31,70,Schoenoplectus acutus,NA
Schoenoplectus americanus,Cyperaceae,NA,NA,13.27906556,NA,non-woody,1.6931,8,6,15,Schoenoplectus americanus,NA
Scirpus microcarpus,Cyperaceae,0.360957598,1.246682581,15.01430186,5839.17,non-woody,0.1082,22,16,9,Scirpus microcarpus,NA
Sedum divergens,Crassulaceae,NA,NA,NA,NA,NA,NA,16,11,11,Sedum divergens,NA
Shepherdia canadensis,Elaeagnaceae,NA,1.82,33,NA,woody,8.1352,94,46,127,Shepherdia canadensis,NA
Sium suave,Apiaceae,NA,NA,1.7,NA,non-woody,0.8,12,10,21,Sium suave,NA
Solidago canadensis,Compositae,0.284464623,0.816947234,16.25032178,894.72,non-woody,0.0752,13,5,29,Solidago canadensis,NA
Sorbus scopulina,Rosaceae,NA,4.052776826,NA,4812,woody,3.0406,50,27,5,Sorbus scopulina,NA
Sorbus sitchensis,Rosaceae,NA,4.713407504,20.45865472,NA,woody,3.222,50,27,13,Sorbus sitchensis,NA
Spiraea betulifolia,Rosaceae,NA,0.91,NA,NA,woody,0.2917,17,10,13,Spiraea betulifolia,NA
Spiraea douglasii,Rosaceae,NA,1.787456293,NA,NA,woody,0.1532,14,13,5,Spiraea douglasii,NA
Streptopus amplexifolius,Liliaceae,NA,0.579889,NA,2957.04,non-woody,2.0416,42,19,24,Streptopus amplexifolius,NA
Symphoricarpos albus,Caprifoliaceae,358.885,1.560812225,14.50379607,1318.87,woody,6.742,84,34,79,Symphoricarpos albus,NA
Taxus brevifolia,Taxaceae,NA,12.73489627,NA,40,woody,29.9289,65,39,127,Taxus brevifolia,NA
Thalictrum occidentale,Ranunculaceae,NA,NA,NA,NA,non-woody,3.7,3,3,14,Thalictrum occidentale,NA
Thuja plicata,Cupressaceae,NA,48.29183056,11.83504708,NA,woody,1.2858,154,55,368,Thuja plicata,NA
Toxicodendron rydbergii,Anacardiaceae,NA,NA,NA,NA,NA,NA,21,9,3,Toxicodendron rydbergii,NA
Trifolium wormskioldii,Leguminosae,NA,1.06,NA,NA,non-woody,0.6956,16,12,21,Trifolium wormskioldii,NA
Triglochin maritima,Juncaginaceae,0.125570724,0.40165977,NA,394.64,non-woody,0.5842,8,7,6,Triglochin maritima,NA
Trillium ovatum,Melanthiaceae,NA,NA,NA,NA,non-woody,11.42,16,11,10,Trillium ovatum,NA
Trillium petiolatum,Liliaceae,NA,NA,NA,NA,NA,NA,16,11,1,Trillium petiolatum,NA
Triteleia grandiflora,Asparagaceae,NA,0.6,NA,NA,non-woody,1.2,9,6,11,Triteleia grandiflora,NA
Tsuga heterophylla,Pinaceae,NA,45.14083248,11.9005052,75,woody,1.7356,86,41,160,Tsuga heterophylla,NA
Tsuga mertensiana,Pinaceae,NA,38.1,11.97012949,NA,woody,3.9083,86,41,19,Tsuga mertensiana,NA
Typha latifolia,Typhaceae,0.191656794,1.525828105,14.43017547,17369.99,non-woody,0.0576,107,43,254,Typha latifolia,NA
Urtica dioica,Urticaceae,186.137774555625,0.88302413,42.91725378,1552.74,non-woody,0.1399,84,53,63,Urtica dioica,NA
Vaccinium caespitosum,Ericaceae,NA,0.20215,NA,176.32,woody,0.1016,59,29,25,Vaccinium caespitosum,NA
Vaccinium membranaceum,Ericaceae,NA,1.37,NA,NA,woody,0.1604,85,41,43,Vaccinium membranaceum,NA
Vaccinium myrtilloides,Ericaceae,NA,4.389760814,15.78529749,293.99,woody,0.2,37,18,40,Vaccinium myrtilloides,NA
Vaccinium myrtillus,Ericaceae,246.71350417526,0.223988528,16.39812025,145.27,woody,0.2917,11,7,1,Vaccinium myrtillus,NA
Vaccinium ovalifolium,Ericaceae,NA,2.43,NA,NA,woody,0.2734,97,46,75,Vaccinium ovalifolium,NA
Vaccinium ovatum,Ericaceae,NA,2.43,6.841052551,NA,woody,NA,21,10,32,Vaccinium ovatum,NA
Vaccinium oxycoccos,Ericaceae,279.456800106967,0.444145533,15.33,16.2,woody,0.717,75,37,59,Vaccinium oxycoccos,NA
Vaccinium parvifolium,Ericaceae,NA,3.65,NA,NA,woody,0.1895,82,37,58,Vaccinium parvifolium,NA
Vaccinium scoparium,Ericaceae,NA,0.6,NA,NA,woody,1.6176,11,7,13,Vaccinium scoparium,NA
Vaccinium uliginosum,Ericaceae,390.764675093333,0.172680858,21.85698336,81.46,woody,0.2143,58,26,36,Vaccinium uliginosum,NA
Vaccinium vitis-idaea,Ericaceae,NA,0.139586675,10.57435117,75.3,woody,0.3088,36,18,30,Vaccinium vitis-idaea,NA
Valeriana edulis,Caprifoliaceae,NA,NA,NA,2349.53,non-woody,NA,14,8,18,Valeriana edulis,NA
Valeriana sitchensis,Caprifoliaceae,NA,NA,NA,NA,non-woody,1.7373,14,7,25,Valeriana sitchensis,NA
Veratrum viride,Melanthiaceae,NA,NA,NA,NA,non-woody,1.33,59,38,121,Veratrum viride,NA
Viburnum edule,Adoxaceae,NA,0.6,NA,2408.66,woody,34.6917,96,41,63,Viburnum edule,NA
Viburnum opulus,Adoxaceae,167.872437053038,2.808383402,21.57677792,3016.08,woody,27.4292,96,41,15,Viburnum opulus,NA
Vicia nigricans subsp. gigantea,Fabaceae,NA,NA,NA,NA,NA,NA,23,13,8,Vicia nigricans,subsp. gigantea
Viola adunca,Violaceae,NA,0.0298,15.87450787,157.63,non-woody,0.79,8,7,9,Viola adunca,NA
Xerophyllum tenax,Melanthiaceae,NA,1.52,NA,NA,non-woody,2.0447,27,20,26,Xerophyllum tenax,NA
Zigadenus elegans,Liliaceae,NA,NA,NA,NA,NA,NA,17,13,12,Zigadenus elegans,NA
Zigadenus venenosus,Liliaceae,NA,NA,NA,NA,NA,NA,17,13,30,Zigadenus venenosus,NA
Zostera marina,Zosteraceae,0.11,0.547722558,NA,3162,non-woody,NA,26,16,12,Zostera marina,NA
