Synonym,Family,LDMC (g/g),Plant height (m),Nmass (mg/g),Leaf area (mm2),Woodiness,Diaspore mass (mg),N_Names,N_Langs,N_Uses,Species,Ssp_var
Bromus carinatus,Poaceae,0.23272,1.205,NA,1716,non-woody,5.9079,5,6,4,Bromus carinatus,NA
Calamagrostis rubescens,Poaceae,NA,0.91,NA,NA,non-woody,0.17,18,12,9,Calamagrostis rubescens,NA
Calochortus macrocarpus,Liliaceae,NA,0.54,NA,NA,non-woody,2.24,10,8,17,Calochortus macrocarpus,NA
Calypso bulbosa,Orchidaceae,NA,NA,NA,NA,non-woody,6e-4,16,10,1,Calypso bulbosa,NA
Camassia leichtlinii,Asparagaceae,NA,NA,NA,NA,non-woody,9.35,65,33,12,Camassia leichtlinii,NA
Camassia quamash,Asparagaceae,NA,0.7,NA,NA,non-woody,3.989,65,16,50,Camassia quamash,NA
Campanula rotundifolia,Campanulaceae,236.962653562727,0.227134281,19.69810933,62.67,non-woody,0.0546,5,4,10,Campanula rotundifolia,NA
Carex obnupta,Cyperaceae,NA,0.91,NA,NA,non-woody,0.3528,46,26,10,Carex obnupta,NA
Carex rostrata,Cyperaceae,0.237746229,0.468669026,19.26761453,1698.77,non-woody,1.034,46,26,4,Carex rostrata,NA
Castilleja hispida,Orobanchaceae,NA,0.45,NA,NA,non-woody,0.3592,21,15,3,Castilleja hispida,NA
Castilleja miniata,Orobanchaceae,NA,NA,NA,NA,non-woody,0.2496,21,15,19,Castilleja miniata,NA
Ceanothus sanguineus,Rhamnaceae,NA,3.04,NA,NA,woody,3.3747,23,10,5,Ceanothus sanguineus,NA
Ceanothus velutinus,Rhamnaceae,NA,3.019933774,20,NA,woody,4.8155,23,10,5,Ceanothus velutinus,NA
Chamaecyparis nootkatensis,Cupressaceae,NA,NA,NA,NA,NA,NA,42,47,62,Chamaecyparis nootkatensis,NA
Chenopodium capitatum,Amaranthaceae,NA,0.378224476,NA,NA,non-woody,0.2284,15,10,12,Chenopodium capitatum,NA
Chimaphila umbellata,Ericaceae,NA,0.095637489,11.8577412,122.51,woody,NA,16,11,70,Chimaphila umbellata,NA
Cicuta douglasii,Apiaceae,NA,1.82,NA,NA,non-woody,2.9335,28,19,31,Cicuta douglasii,NA
Cicuta virosa,Apiaceae,0.121237201,0.876134937,NA,17017.66,non-woody,1.036,28,19,6,Cicuta virosa,NA
Cirsium arvense,Compositae,105.709972199815,0.652958113,24.72195493,5570.16,non-woody,1.6595,44,28,11,Cirsium arvense,NA
Cirsium brevistylum,Compositae,NA,NA,NA,NA,non-woody,1.5792,44,28,6,Cirsium brevistylum,NA
Cirsium edule,Asteraceae,NA,NA,NA,NA,NA,NA,44,28,10,Cirsium edule,NA
Cirsium hookerianum,Asteraceae,NA,NA,NA,NA,NA,NA,44,28,6,Cirsium hookerianum,NA
