Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Aruncus dioicus,Rosaceae,20,16,10,Aruncus dioicus,NA,41.37404677,non-woody,0.194935887,0.08810000000000001,1.103405285,97188.52000000005,40
Asarum caudatum,Aristolochiaceae,23,12,28,Asarum caudatum,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,41
Asclepias speciosa,Apocynaceae,5,4,61,Asclepias speciosa,NA,23.178995585328753,non-woody,124.82540995095653,6.919099999999999,1.82,5970.834322000339,42
Athyrium filix-femina subsp. cyclosorum,Dryopteridaceae,30,19,1,Athyrium filix-femina,subsp. cyclosorum,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,43
Balsamorhiza sagittata,Compositae,31,13,109,Balsamorhiza sagittata,NA,24.860285322852913,non-woody,29.9992415747433,4.827299999999999,0.6,6992.420000000004,44
Betula nana,Betulaceae,13,11,7,Betula nana,NA,22.6860961,woody,397.52528115384587,0.2214,0.394932857,51.78000000000001,45
Betula occidentalis,Betulaceae,8,7,12,Betula occidentalis,NA,22.1342102662962,woody,344.380990165577,0.2168,12.345039490000001,2520.111512000241,46
Betula papyrifera,Betulaceae,56,35,174,Betula papyrifera,NA,23.83371477,woody,400.62000000000006,0.3277999999999999,14.69789012,2536.3800000000006,47
Betula pumila var. glandulifera,Betulaceae,13,11,3,Betula pumila,var. glandulifera,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,48
Blechnum spicant,Blechnaceae,16,12,17,Blechnum spicant,NA,20.082819696351947,non-woody,153.58371133357426,5.1499999999999964e-6,0.371950331,2924.1676395236177,49
Boschniakia hookeri,Orobanchaceae,8,5,3,Boschniakia hookeri,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,50
Boschniakia rossica,Orobanchaceae,8,5,1,Boschniakia rossica,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,51
Bromus carinatus,Poaceae,5,6,4,Bromus carinatus,NA,23.883735279396618,non-woody,0.23272,5.907899999999999,1.205,1716.0000000000002,52
Calamagrostis rubescens,Poaceae,18,12,9,Calamagrostis rubescens,NA,23.447301527343868,non-woody,61.10121740530353,0.17,0.91,2677.858574366697,53
Calochortus macrocarpus,Liliaceae,10,8,17,Calochortus macrocarpus,NA,22.7912154398129,non-woody,19.860973889462116,2.24,0.54,3193.4842590002395,54
Calypso bulbosa,Orchidaceae,16,10,1,Calypso bulbosa,NA,18.86689059405344,non-woody,164.61851163463402,5.999999999999997e-4,1.3604209378922865,18786.522676448385,55
Camassia leichtlinii,Asparagaceae,65,33,12,Camassia leichtlinii,NA,22.13489130709461,non-woody,24.25814027202354,9.35,0.6417282017076243,2492.925126150144,56
Camassia quamash,Asparagaceae,65,16,50,Camassia quamash,NA,21.792687862744007,non-woody,25.21266028857039,3.9889999999999994,0.7,3260.3915001002374,57
Campanula rotundifolia,Campanulaceae,5,4,10,Campanula rotundifolia,NA,19.69810933,non-woody,236.96265356272698,0.05460000000000001,0.227134281,62.66999999999999,58
Carex obnupta,Cyperaceae,46,26,10,Carex obnupta,NA,22.025656211252272,non-woody,78.04877229134297,0.35280000000000006,0.91,4904.479000666932,59
Carex rostrata,Cyperaceae,46,26,4,Carex rostrata,NA,19.26761453,non-woody,0.23774622899999998,1.034,0.468669026,1698.7700000000004,60
Castilleja hispida,Orobanchaceae,21,15,3,Castilleja hispida,NA,19.717351276417663,non-woody,71.46634576941631,0.3592000000000001,0.45,1263.5296090666304,61
Castilleja miniata,Orobanchaceae,21,15,19,Castilleja miniata,NA,20.482511896392452,non-woody,69.83041538017001,0.2496,0.5216301673287957,1093.427812666662,62
Ceanothus sanguineus,Rhamnaceae,23,10,5,Ceanothus sanguineus,NA,21.14271834534282,woody,222.93132238612043,3.3746999999999994,3.04,3391.618294999877,63
Ceanothus velutinus,Rhamnaceae,23,10,5,Ceanothus velutinus,NA,20,woody,218.3491449502857,4.8155,3.0199337739999996,3124.272503999769,64
Chamaecyparis nootkatensis,Cupressaceae,42,47,62,Chamaecyparis nootkatensis,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,65
Chenopodium capitatum,Amaranthaceae,15,10,12,Chenopodium capitatum,NA,18.399824839303935,non-woody,64.41446986714651,0.2284,0.378224476,1320.7788352999776,66
Chimaphila umbellata,Ericaceae,16,11,70,Chimaphila umbellata,NA,11.8577412,woody,242.00732146802162,3.0808946538112463,0.09563748900000002,122.50999999999999,67
Cicuta douglasii,Apiaceae,28,19,31,Cicuta douglasii,NA,22.156332452049128,non-woody,130.45645051812917,2.9335,1.82,7912.354629000597,68
Cicuta virosa,Apiaceae,28,19,6,Cicuta virosa,NA,23.871446419586018,non-woody,0.12123720099999998,1.036,0.876134937,17017.660000000007,69
Cirsium arvense,Compositae,44,28,11,Cirsium arvense,NA,24.72195493,non-woody,105.70997219981496,1.6595,0.652958113,5570.160000000002,70
Cirsium brevistylum,Compositae,44,28,6,Cirsium brevistylum,NA,21.855210351674057,non-woody,36.529014617971846,1.5792,0.7395399643886019,3317.952326781107,71
Cirsium edule,Asteraceae,44,28,10,Cirsium edule,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,72
Cirsium hookerianum,Asteraceae,44,28,6,Cirsium hookerianum,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,73
Cirsium undulatum,Compositae,44,28,16,Cirsium undulatum,NA,23.55,non-woody,36.59260050200123,5.4403,1.2,3764.3373463998505,74
Cirsium vulgare,Compositae,44,28,20,Cirsium vulgare,NA,17.26,non-woody,0.131397251,2.6402,0.92238856,6798.489999999998,75
Claytonia lanceolata,Montiaceae,30,18,13,Claytonia lanceolata,NA,19.875682786769016,non-woody,70.22704109792724,1.11,0.5552783476153984,76.72000000000001,76
Claytonia sibirica,Montiaceae,17,7,14,Claytonia sibirica,NA,29.974380198558542,non-woody,0.07680999999999999,1.1796,0.35663531700000006,316,77
Clematis columbiana,Ranunculaceae,10,6,3,Clematis columbiana,NA,21.447412194680766,woody,191.4904620978529,5.33,1.5,5799.088673000304,78
Clematis ligusticifolia,Ranunculaceae,13,7,59,Clematis ligusticifolia,NA,25.8999059518377,woody,189.25433132348894,2.8439,0.3,3212.999999999998,79
Clematis occidentalis,Ranunculaceae,10,6,3,Clematis occidentalis,NA,20.868346107167564,woody,225.89962511202566,5.27,2.983787274936355,3858.5063169998243,80
Clintonia uniflora,Liliaceae,10,9,10,Clintonia uniflora,NA,21.953023777454263,non-woody,21.698711779653003,4.962899999999999,0.8352052486570996,3300.652825100054,81
Comandra umbellata,Santalaceae,8,4,7,Comandra umbellata,NA,16.98419965,non-woody,56.294413345966085,89.12000000000002,0.282842712,96.61999999999998,82
Comarum palustre,Rosaceae,3,3,4,Comarum palustre,NA,13.36,non-woody,0.25,0.4222,0.371233216,2197.209999999999,83
Conioselinum gmelinii,Apiaceae,29,14,15,Conioselinum gmelinii,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,84
Cornus canadensis,Cornaceae,60,30,40,Cornus canadensis,NA,18.50784993,non-woody,55.42524246053766,8.7106,0.15,771.3799999999998,85
Cornus nuttallii,Cornaceae,24,14,30,Cornus nuttallii,NA,17.701661734115447,woody,182.60071060970247,91.83589999999998,14.725854820000002,3200.0000000000027,86
Cornus sericea,Cornaceae,76,40,21,Cornus sericea,NA,17.55,woody,166.672078466236,25.7526,2.663296645,2345.5099999999998,87
Cornus suecica,Cornaceae,60,30,2,Cornus suecica,NA,19.88696657,non-woody,0.197911602,3.4200000000000004,0.16496465099999996,301.40000000000003,88
Cornus unalaschkensis,Cornaceae,60,30,6,Cornus unalaschkensis,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,89
Corylus cornuta,Betulaceae,63,29,25,Corylus cornuta,NA,19.53619192,woody,152.52406603400954,472.61130000000003,3.3940213169999995,3166.4000000000024,90
Crataegus douglasii,Rosaceae,68,25,41,Crataegus douglasii,NA,17.94838569402932,woody,187.47256016939377,22.1203,3.123716806,2534.1779359998595,91
Delphinium nuttallianum,Ranunculaceae,6,4,2,Delphinium nuttallianum,NA,18.72302390022231,non-woody,34.64404289485483,0.4033,0.3531654967075562,381.9700000000001,92
Dicentra formosa,Papaveraceae,6,4,4,Dicentra formosa,NA,22.03887123933502,non-woody,34.201853695241276,1.4209,0.5646216169999999,2031.510120180924,93
Dodecatheon hendersonii,Primulaceae,15,9,3,Dodecatheon hendersonii,NA,20.53797387070854,non-woody,23.714858941802582,1.1493,0.6169684448283989,2578.877567264316,94
Dodecatheon jeffreyi,Primulaceae,15,9,2,Dodecatheon jeffreyi,NA,17.206935963956656,non-woody,19.71114454230202,0.53,0.4164943747103138,919.7072734667094,95
Dodecatheon pulchellum,Primulaceae,15,9,1,Dodecatheon pulchellum,NA,25.94875,non-woody,46.118314845450946,0.3836,0.6,408.09000000000003,96
Drosera rotundifolia,Droseraceae,6,3,2,Drosera rotundifolia,NA,12.68845516,non-woody,0.13,0.012899999999999998,0.07657072999999999,47.440000000000005,97
Dryopteris expansa,Dryopteridaceae,66,37,7,Dryopteris expansa,NA,22.11655754,non-woody,269.34000000000003,3.6799999999999986e-5,1.2,59642.46000000002,98
Elaeagnus commutata,Elaeagnaceae,25,11,43,Elaeagnus commutata,NA,20.2442555378494,woody,160.8014214312097,119.17239999999998,2.8178319760000003,3551.3883499999743,99
Empetrum nigrum,Ericaceae,42,18,31,Empetrum nigrum,NA,11.41157144,woody,279.276306748081,0.9796,0.21346105600000004,4.8,100
Epilobium angustifolium,Onagraceae,85,43,4,Epilobium angustifolium,NA,28.6675871,non-woody,0.30408778500000005,0.06550000000000002,0.831719514,2207.7599999999993,101
Equisetum arvense,Equisetaceae,89,43,54,Equisetum arvense,NA,20.03828835,non-woody,181.70286413985002,2.2000000000000016e-5,0.348986214,112.81999999999995,102
Equisetum hyemale subsp. affine,Equisetaceae,40,26,8,Equisetum hyemale,subsp. affine,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,103
Equisetum telmateia,Equisetaceae,89,43,26,Equisetum telmateia,NA,20.783412935690656,non-woody,119.49333333333297,2.2000000000000016e-5,1.168182022,50.33,104
Ericameria nauseosa,Compositae,17,8,41,Ericameria nauseosa,NA,20.57577722,woody,296.2131892206012,0.7539,1.105,28.27,105
Eriophorum angustifolium,Cyperaceae,26,8,6,Eriophorum angustifolium,NA,19.2332864,non-woody,0.326532408,0.4922,0.280294636,1159.4,106
Erythronium grandiflorum,Liliaceae,13,13,25,Erythronium grandiflorum,NA,22.87400218166943,non-woody,26.136911852415707,4.0602,0.3,2135.49,107
Eurybia conspicua,Asteraceae,8,5,8,Eurybia conspicua,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,108
Fragaria chiloensis,Rosaceae,113,51,25,Fragaria chiloensis,NA,19.29576058363145,non-woody,53.861096191085885,0.74,0.24,1109.29412300006,109
Fragaria vesca,Rosaceae,113,51,28,Fragaria vesca,NA,18.41902786,non-woody,388.00000000000006,0.3229,0.11388025699999998,1112.1100000000001,110
Fragaria virginiana,Rosaceae,113,51,76,Fragaria virginiana,NA,14.74564927,non-woody,0.470839011,0.4771,0.10693312799999999,1285.8100000000002,111
Frangula purshiana,Rhamnaceae,52,26,62,Frangula purshiana,NA,20.041182068029368,woody,194.30721548408516,37.99360000000001,10.33,3113.517832999933,112
Frasera montana,Gentianaceae,5,4,1,Frasera montana,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,113
Fritillaria affinis,Liliaceae,17,13,12,Fritillaria affinis,NA,22.365388881817104,non-woody,120.11127910646496,2.2,1.5551576743778364,5790.703851000439,114
Fritillaria camschatcensis,Liliaceae,34,21,14,Fritillaria camschatcensis,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,115
Fritillaria pudica,Liliaceae,16,9,20,Fritillaria pudica,NA,22.114138783043643,non-woody,34.480421888814234,2.3157,0.3,1495.019297833327,116
Gaillardia aristata,Compositae,12,5,19,Gaillardia aristata,NA,24.13828917944589,non-woody,13.685257222409447,8.540099999999999,0.6,3150.9902929167806,117
Galium aparine,Rubiaceae,36,20,19,Galium aparine,NA,25.66632034,non-woody,0.139310853,7.752200000000001,0.389570305,159.04999999999998,118
Galium triflorum,Rubiaceae,36,20,19,Galium triflorum,NA,19.05135813,non-woody,16.50286317494132,0.7321,0.49410509515932005,1241.2232059667035,119
Gaultheria shallon,Ericaceae,77,30,82,Gaultheria shallon,NA,8.890435201,woody,250.9319076189908,0.11909999999999996,1.471306473,3019.000000000001,120
Geranium viscosissimum,Geraniaceae,6,5,12,Geranium viscosissimum,NA,22.447471415336818,non-woody,23.751422950145386,8.489500000000001,0.91,2505.359999999999,121
Geum macrophyllum,Rosaceae,21,18,19,Geum macrophyllum,NA,20.470203338314825,non-woody,0.260357555,1.5367,0.6,1010.9800000000004,122
Geum triflorum,Rosaceae,9,4,26,Geum triflorum,NA,14.19803952,non-woody,26.20647441467181,0.6286,0.45,828.8,123
Glaux maritima,Primulaceae,4,3,3,Glaux maritima,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,124
Goodyera oblongifolia,Orchidaceae,17,12,8,Goodyera oblongifolia,NA,18.369923205620367,non-woody,150.62158262678426,0.0014000000000000004,1.4324828535438932,16212.43520287146,125
Gymnocarpium dryopteris,Cystopteridaceae,4,4,1,Gymnocarpium dryopteris,NA,20.87572485,non-woody,164.14581669571405,2.2000000000000016e-5,0.205303911,4084.0800000000004,126
Hackelia diffusa,Boraginaceae,7,5,1,Hackelia diffusa,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,127
Hedysarum alpinum,Leguminosae,15,7,12,Hedysarum alpinum,NA,38.3,non-woody,20.995116722411236,6.0681,0.24494897400000004,4339.488549999876,128
Heracleum maximum,Apiaceae,102,50,189,Heracleum maximum,NA,22.56061655706359,non-woody,113.43143394982226,6.538600000000001,2.43,12356.380000000005,129
Heuchera cylindrica,Saxifragaceae,17,12,22,Heuchera cylindrica,NA,18.19582667866421,non-woody,133.71818312138006,0.05000000000000001,1.82,7832.153911467526,130
Hierochloe odorata,Poaceae,14,8,92,Hierochloe odorata,NA,18.97042872701368,non-woody,0.19,1.1152,0.350568382,33,131
Holodiscus discolor,Rosaceae,36,26,65,Holodiscus discolor,NA,18.03820416,woody,263.22612798853794,0.11340000000000001,2.928841355,661.4199999999998,132
Hordeum jubatum,Poaceae,17,11,6,Hordeum jubatum,NA,22.54,non-woody,0.24441,1.6304,0.411953429,181.00000000000006,133
Juncus effusus,Juncaceae,9,6,20,Juncus effusus,NA,13.57264734,non-woody,270.228,0.016600000000000007,0.761216973,1402.0000000000002,134
Juniperus communis,Cupressaceae,66,34,112,Juniperus communis,NA,11.44467354,woody,407.42251571599985,11.7085,3.0414365519999995,20.680000000000003,135
Juniperus scopulorum,Cupressaceae,20,18,131,Juniperus scopulorum,NA,13.04468907,woody,245.8500982393787,15.7658,11.458257300000001,681.4222970000186,136
Kalmia microphylla,Ericaceae,13,8,6,Kalmia microphylla,NA,20.01982744481798,woody,259.0866646829248,0.010000000000000004,0.3,1930.354595080839,137
Lappula occidentalis,Boraginaceae,7,5,1,Lappula occidentalis,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,138
Larix laricina,Pinaceae,11,6,55,Larix laricina,NA,15.28582255,woody,317.6578550967349,1.5223,23.399327270000004,33,139
Larix occidentalis,Pinaceae,15,10,45,Larix occidentalis,NA,16.38228862,woody,298.8487822778838,3.2728999999999995,50.83738162,25.199999999999996,140
Lathyrus japonicus,Leguminosae,22,15,5,Lathyrus japonicus,NA,24.58908783348714,non-woody,19.89913061610107,31.9982,0.42837748,3332.6879118335264,141
Lathyrus nevadensis,Leguminosae,22,15,1,Lathyrus nevadensis,NA,23.993477962542347,non-woody,93.35446809117524,16.700000000000003,1.4079824859280123,5011.2250660003,142
Lathyrus ochroleucus,Leguminosae,22,15,5,Lathyrus ochroleucus,NA,32.9,non-woody,17.644188695915176,16.640000000000004,0.9,4700.615444000139,143
Lewisia rediviva,Montiaceae,21,13,50,Lewisia rediviva,NA,22.156792799613346,non-woody,30.356171144179456,2.611,0.6951244774257509,3223.914019733476,144
Leymus cinereus,Poaceae,15,10,18,Leymus cinereus,NA,22.609104984220195,non-woody,105.6102242799309,3.0444,1.52,5587.195810000445,145
Leymus mollis,Poaceae,17,11,18,Leymus mollis,NA,21.762560680362014,non-woody,39.33847595372085,8.36636551210459,1.21,3250.9067949999294,146
Ligusticum canbyi,Apiaceae,11,8,19,Ligusticum canbyi,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,147
Ligusticum scoticum,Apiaceae,12,4,5,Ligusticum scoticum,NA,22.91231690552791,non-woody,16.600597457456644,3.7199,0.52,3161.9999999999986,148
Lilium columbianum,Liliaceae,34,22,27,Lilium columbianum,NA,22.137772520430172,non-woody,31.851832234699096,2.55,0.7076094998011406,3540.1275473335204,149
Linnaea borealis,Caprifoliaceae,8,8,6,Linnaea borealis,NA,9.304296068,non-woody,0.25,1.1894,0.17717347,92.95999999999995,150
Lithospermum ruderale,Boraginaceae,15,6,23,Lithospermum ruderale,NA,22.78456211492701,non-woody,13.564180131858892,10.2411,0.45,3272.280726350188,151
Lomatium canbyi,Apiaceae,8,6,8,Lomatium canbyi,NA,26.459968399186845,non-woody,41.17346962796283,4.5796,0.24,7029.371572999561,152
Lomatium cous,Apiaceae,14,10,12,Lomatium cous,NA,26.450353425708844,non-woody,41.173450755293025,4.52,0.24,7027.951201999564,153
Lomatium dissectum,Apiaceae,10,7,40,Lomatium dissectum,NA,22.643728550683964,non-woody,86.83519734700056,13.923499999999999,1.4,6486.832754000483,154
Lomatium geyeri,Apiaceae,3,3,1,Lomatium geyeri,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,155
Lomatium macrocarpum,Apiaceae,10,8,40,Lomatium macrocarpum,NA,24.250404607485674,non-woody,22.57453675716589,6.645897637266583,0.7423530665340873,3867.9747716668458,156
Lomatium nudicaule,Apiaceae,25,18,54,Lomatium nudicaule,NA,23.469545786697235,non-woody,21.210289772490945,15.6694,0.9143925367142907,3631.2495944002244,157
Lonicera ciliosa,Caprifoliaceae,36,18,25,Lonicera ciliosa,NA,21.787854804653975,woody,214.66248703894126,12.209999999999997,2.989031628431981,2704.2456123332186,158
Lonicera involucrata,Caprifoliaceae,68,34,72,Lonicera involucrata,NA,21.158449797196624,woody,230.8135779391425,1.517,3.04,3198.170000000001,159
Lupinus nootkatensis,Leguminosae,18,12,2,Lupinus nootkatensis,NA,25.210150896204613,non-woody,25.25543336873689,21.544400000000003,0.774596669,3454.8901196668185,160
Lupinus polyphyllus,Leguminosae,22,14,6,Lupinus polyphyllus,NA,32.93508767,non-woody,0.16967032299999998,22.455600000000004,1.1592534219999997,1460.1700000000005,161
