Species,LEVEL2
Abies amabilis,6.2
Abies amabilis,7.1
Abies amabilis,10.1
Abies amabilis,6.1
Abies grandis,6.2
Abies grandis,7.1
Abies grandis,10.1
Abies grandis,5.4
Abies grandis,6.1
Abies lasiocarpa,6.2
Abies lasiocarpa,10.1
Abies lasiocarpa,7.1
Abies lasiocarpa,3.3
Abies lasiocarpa,6.1
Abies lasiocarpa,5.4
Abies lasiocarpa,3.2
Acer circinatum,6.2
Acer circinatum,7.1
Acer circinatum,10.1
Acer glabrum,7.1
Acer glabrum,6.2
Acer glabrum,10.1
Acer glabrum,6.1
Acer macrophyllum,6.2
Acer macrophyllum,7.1
Acer macrophyllum,10.1
Achlys triphylla,6.2
Achlys triphylla,7.1
Achlys triphylla,10.1
Actaea rubra,6.1
Actaea rubra,6.2
Actaea rubra,7.1
Actaea rubra,10.1
Actaea rubra,5.4
Actaea rubra,3.3
Actaea rubra,3.1
Actaea rubra,3.2
Adiantum aleuticum,6.2
Adiantum aleuticum,7.1
Adiantum aleuticum,10.1
Agoseris glauca,6.2
Agoseris glauca,10.1
Agoseris glauca,7.1
Agoseris glauca,6.1
Agoseris glauca,5.4
Agoseris glauca,3.3
Allium cernuum,6.2
Allium cernuum,10.1
Allium cernuum,7.1
Allium cernuum,3.3
Allium cernuum,5.4
Allium geyeri,6.2
Allium geyeri,10.1
Allium geyeri,7.1
Allium schoenoprasum,3.1
Allium schoenoprasum,6.2
Allium schoenoprasum,10.1
Allium schoenoprasum,5.4
Allium schoenoprasum,6.1
Allium schoenoprasum,2.2
Allium schoenoprasum,7.1
Allium schoenoprasum,3.3
Allium schoenoprasum,3.2
Allium schoenoprasum,2.3
Alnus incana,6.2
Alnus incana,7.1
Alnus incana,3.1
Alnus incana,6.1
Alnus incana,10.1
Alnus incana,2.2
Alnus incana,5.4
Alnus incana,3.3
Alnus incana,3.2
Alnus incana,2.3
Alnus rubra,7.1
Alnus rubra,6.2
Alnus rubra,10.1
Alnus rubra,6.1
Alnus viridis,6.2
Alnus viridis,3.1
Alnus viridis,3.3
Alnus viridis,5.4
Alnus viridis,7.1
Alnus viridis,2.3
Alnus viridis,10.1
Alnus viridis,6.1
Alnus viridis,3.2
Alnus viridis,2.2
Amelanchier alnifolia,10.1
Amelanchier alnifolia,6.2
Amelanchier alnifolia,7.1
Amelanchier alnifolia,5.4
Amelanchier alnifolia,6.1
Amelanchier alnifolia,3.3
Amelanchier alnifolia,3.2
Amelanchier alnifolia,3.1
Anemone multifida,6.2
Anemone multifida,7.1
Anemone multifida,10.1
Anemone multifida,6.1
Anemone multifida,3.1
Anemone multifida,5.4
Anemone multifida,2.3
Anemone multifida,3.3
Anemone multifida,2.2
Anemone multifida,3.2
Angelica genuflexa,7.1
Angelica genuflexa,6.2
Angelica genuflexa,10.1
Angelica genuflexa,6.1
Angelica genuflexa,2.2
Angelica lucida,7.1
Angelica lucida,6.1
Angelica lucida,6.2
Angelica lucida,2.2
Angelica lucida,3.1
Antennaria neglecta,6.2
Antennaria neglecta,5.4
Antennaria neglecta,10.1
Antennaria neglecta,7.1
Antennaria neglecta,6.1
Antennaria neglecta,3.3
Apocynum androsaemifolium,10.1
Apocynum androsaemifolium,6.2
Apocynum androsaemifolium,6.1
Apocynum androsaemifolium,7.1
Apocynum androsaemifolium,5.4
Apocynum androsaemifolium,3.3
Apocynum androsaemifolium,3.1
Apocynum androsaemifolium,3.2
Apocynum cannabinum,6.2
Apocynum cannabinum,10.1
Apocynum cannabinum,5.4
Apocynum cannabinum,7.1
Aquilegia formosa,6.1
Aquilegia formosa,6.2
Aquilegia formosa,10.1
Aquilegia formosa,7.1
Aquilegia formosa,5.4
Aquilegia formosa,3.2
Aralia nudicaulis,5.4
Aralia nudicaulis,6.1
Aralia nudicaulis,6.2
Aralia nudicaulis,3.3
Aralia nudicaulis,10.1
Aralia nudicaulis,7.1
Arbutus menziesii,6.2
Arbutus menziesii,7.1
Arctostaphylos uva-ursi,6.2
Arctostaphylos uva-ursi,7.1
Arctostaphylos uva-ursi,10.1
Arctostaphylos uva-ursi,6.1
Arctostaphylos uva-ursi,5.4
Arctostaphylos uva-ursi,3.2
Arctostaphylos uva-ursi,3.1
Arctostaphylos uva-ursi,2.2
Arctostaphylos uva-ursi,2.3
Arctostaphylos uva-ursi,3.3
Argentina anserina,6.2
Argentina anserina,10.1
Argentina anserina,5.4
Argentina anserina,7.1
Argentina anserina,6.1
Argentina egedii,7.1
Arnica cordifolia,6.2
Arnica cordifolia,6.1
Arnica cordifolia,10.1
Arnica cordifolia,7.1
Arnica cordifolia,3.3
Arnica cordifolia,5.4
Artemisia dracunculus,10.1
Artemisia dracunculus,6.2
Artemisia dracunculus,3.3
Artemisia dracunculus,5.4
Artemisia dracunculus,6.1
Artemisia dracunculus,7.1
Artemisia frigida,6.2
Artemisia frigida,10.1
Artemisia frigida,6.1
Artemisia frigida,3.3
Artemisia frigida,3.1
