Species,LEVEL1
Artemisia tridentata,10
Artemisia tridentata,6
Artemisia tridentata,7
Aruncus dioicus,7
Aruncus dioicus,6
Aruncus dioicus,2
Asclepias speciosa,10
Asclepias speciosa,6
Asclepias speciosa,7
Asclepias speciosa,5
Balsamorhiza sagittata,10
Balsamorhiza sagittata,6
Balsamorhiza sagittata,7
Betula nana,6
Betula nana,3
Betula nana,2
Betula nana,7
Betula nana,10
Betula pumila,5
Betula pumila,3
Betula pumila,6
Betula pumila,7
Betula pumila,10
Betula occidentalis,6
Betula occidentalis,3
Betula occidentalis,10
Betula occidentalis,2
Betula occidentalis,5
Betula occidentalis,7
Betula papyrifera,7
Betula papyrifera,6
Betula papyrifera,3
Betula papyrifera,2
Betula papyrifera,5
Betula papyrifera,10
Boschniakia hookeri,7
Boschniakia hookeri,6
Boschniakia rossica,6
Boschniakia rossica,2
Boschniakia rossica,3
Boschniakia rossica,7
Bromus carinatus,10
Bromus carinatus,6
Bromus carinatus,7
Calamagrostis rubescens,6
Calamagrostis rubescens,10
Calamagrostis rubescens,7
Calamagrostis rubescens,5
Calochortus macrocarpus,10
Calochortus macrocarpus,6
Calochortus macrocarpus,7
Camassia quamash,6
Camassia quamash,7
Camassia quamash,10
Camassia quamash,5
Camassia leichtlinii,6
Camassia leichtlinii,7
Campanula rotundifolia,6
Campanula rotundifolia,10
Campanula rotundifolia,3
Campanula rotundifolia,5
Campanula rotundifolia,7
Carex obnupta,7
Carex obnupta,6
Carex obnupta,10
Carex rostrata,6
Carex rostrata,3
Carex rostrata,10
Carex rostrata,5
Carex rostrata,7
Carex rostrata,2
Castilleja miniata,6
Castilleja miniata,10
Castilleja miniata,7
Castilleja miniata,5
Castilleja miniata,3
Castilleja hispida,7
Castilleja hispida,6
Castilleja hispida,10
Castilleja hispida,5
Castilleja hispida,3
Ceanothus sanguineus,6
Ceanothus sanguineus,7
Ceanothus sanguineus,10
Ceanothus velutinus,6
Ceanothus velutinus,10
Ceanothus velutinus,7
Chenopodium capitatum,6
Chenopodium capitatum,3
Chenopodium capitatum,10
Chenopodium capitatum,5
Chenopodium capitatum,7
Chimaphila umbellata,6
Chimaphila umbellata,7
Chimaphila umbellata,10
Chimaphila umbellata,3
Chimaphila umbellata,5
Cicuta douglasii,6
