Species_full,Family,N_Names,N_Langs,N_Uses,LDMC (g/g),Nmass (mg/g),Woodiness,Plant height (m),Leaf area (mm2)
Tsuga heterophylla,Tsuga,86,41,160,218.75164695209824,11.9005052,woody,45.14083248000001,74.99999999999997
Tsuga mertensiana,Tsuga,86,41,19,209.17915100224513,11.97012949,woody,38.1,111.66537728394343
Typha latifolia,Typha,107,43,254,0.191656794,14.43017547,non-woody,1.525828105,17369.98999999999
Urtica dioica,Urtica,84,53,63,186.137774555625,42.91725378,non-woody,0.88302413,1552.7399999999998
Vaccinium caespitosum,Vaccinium,59,29,25,195.80310439552338,15.929598754006049,woody,0.20215,176.32000000000008
Vaccinium membranaceum,Vaccinium,85,41,43,202.67101355301634,16.574402422202198,woody,1.37,392.1660881115085
Vaccinium myrtilloides,Vaccinium,37,18,40,213.8924424585535,15.78529749,woody,4.389760814,293.99000000000007
Vaccinium myrtillus,Vaccinium,11,7,1,246.71350417526,16.39812025,woody,0.223988528,145.27
Vaccinium ovalifolium,Vaccinium,97,46,75,208.0322915688727,17.346704118514115,woody,2.43,520.9013422565873
Vaccinium ovatum,Vaccinium,21,10,32,241.51463549852082,6.841052551,woody,2.43,138.59303701900598
Vaccinium oxycoccos,Vaccinium,75,37,59,279.456800106967,15.33,woody,0.444145533,16.199999999999996
Vaccinium parvifolium,Vaccinium,82,37,58,213.23886543493154,16.299894509142177,woody,3.65,365.37449781143187
Vaccinium scoparium,Vaccinium,11,7,13,191.83630321571238,17.242987676769495,woody,0.6,463.34096438160634
Vaccinium uliginosum,Vaccinium,58,26,36,390.764675093333,21.85698336,woody,0.172680858,81.45999999999997
Vaccinium vitis-idaea,Vaccinium,36,18,30,240.10968900973197,10.57435117,woody,0.139586675,75.29999999999998
Valeriana edulis,Valeriana,14,8,18,67.8418697980536,20.99184936398009,non-woody,0.7236539010093679,2349.5299999999993
Valeriana sitchensis,Valeriana,14,7,25,68.05030249025566,21.171524914126902,non-woody,0.7927213602329171,1908.9971710521938
Veratrum viride,Veratrum,59,38,121,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Viburnum edule,Viburnum,96,41,63,154.72725475261234,20.68334866488881,woody,0.6,2408.66
Viburnum opulus,Viburnum,96,41,15,167.872437053038,21.57677792,woody,2.8083834020000005,3016.080000000002
Viola adunca,Viola,8,7,9,72.57884870506028,15.87450787,non-woody,0.029800000000000004,157.62999999999997
Xerophyllum tenax,Xerophyllum,27,20,26,106.82799316565178,21.41594898807504,non-woody,1.52,2148.0081028089885
Zostera marina,Zostera,26,16,12,0.11,25.538226352373307,non-woody,0.547722558,3161.9999999999986
Chamaecyparis nootkatensis,Chamaecyparis,42,47,62,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Equisetum hyemale subsp. affine,Equisetum,40,26,8,79.99546246531116,18.436185511747105,non-woody,0.395072186993851,320.79881504519886
Adiantum aleuticum,Adiantum,25,16,11,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Athyrium filix-femina subsp. cyclosorum,Athyrium,30,19,1,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Polypodium glycyrrhiza,Polypodium,39,30,33,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Allium schoenoprasum subsp. sibiricum,Allium,12,7,6,69.52787491767353,18.776004373386982,non-woody,0.2077805908704356,551.3017429759426
Alnus viridis subsp. crispa,Alnus,66,35,26,107.38749523853187,21.63910241673067,non-woody,1.5328424017616786,2292.8935896072103
Alnus viridis subsp. sinuata,Alnus,66,35,8,107.38749523853187,21.63910241673067,non-woody,1.5328424017616786,2292.8935896072103
Angelica genuflexa,Angelica,17,10,11,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Arctous ruber,Arctous,11,6,4,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Argentina egedii,Argentina,49,25,19,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Argentina anserina,Argentina,49,25,16,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Asarum caudatum,Asarum,23,12,28,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Betula pumila var. glandulifera,Betula,13,11,3,235.92955973115144,20.579832837098472,woody,1.6543395443813182,1388.3519742042618
Boschniakia hookeri,Boschniakia,8,5,3,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Boschniakia rossica,Boschniakia,8,5,1,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Cirsium edule,Cirsium,44,28,10,67.77238774711857,21.964460515451815,non-woody,0.856336370429185,2805.8027771747766
Cirsium hookerianum,Cirsium,44,28,6,67.77238774711857,21.964460515451815,non-woody,0.856336370429185,2805.8027771747766
Conioselinum gmelinii,Conioselinum,29,14,15,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Cornus unalaschkensis,Cornus,60,30,6,59.71388333030241,19.434534015307776,non-woody,0.4980597462274325,1374.0695496027665
Eurybia conspicua,Eurybia,8,5,8,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Frasera montana,Frasera,5,4,1,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Fritillaria camschatcensis,Fritillaria,34,21,14,67.03005754114315,20.874769857961052,non-woody,0.635539294163375,1841.635316713281
Glaux maritima,Glaux,4,3,3,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Hackelia diffusa,Hackelia,7,5,1,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Lappula occidentalis,Lappula,7,5,1,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Ligusticum canbyi,Ligusticum,11,8,19,67.56765578416244,20.90911499378647,non-woody,0.7063310630437549,2059.5176484511967
Lomatium geyeri,Lomatium,3,3,1,66.14687992160336,20.397699439995385,non-woody,0.5737811886091112,1527.6878939910175
Lomatium macrocarpum,Lomatium,10,8,40,66.14687992160336,20.397699439995385,non-woody,0.5737811886091112,1527.6878939910175
Mahonia aquifolium,Mahonia,68,29,58,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Mahonia nervosa,Mahonia,68,29,33,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Maianthemum racemosum subsp. amplexicaule,Maianthemum,38,21,3,68.59779103299611,21.054901380043745,non-woody,0.7649212633841825,2735.1999489418113
Phyllospadix scouleri,Phyllospadix,10,5,4,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Platanthera stricta,Platanthera,8,6,1,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Populus balsamifera ssp. balsamifera,Populus,94,51,17,140.02333941307725,21.437780684340826,non-woody,1.409357753643084,2205.394429293149
Populus balsamifera subsp. trichocarpa,Populus,94,51,92,140.02333941307725,21.437780684340826,non-woody,1.409357753643084,2205.394429293149
Pseudoroegneria spicata,Pseudoroegneria,11,9,2,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Ribes lobbii,Ribes,89,41,16,186.23445199155285,22.07792793843706,woody,2.446945612578005,1849.8657328191753
Rubus pedatus,Rubus,21,12,5,182.18468400833075,20.88027845245073,woody,1.9647911386054533,2425.368611667713
Sedum divergens,Sedum,16,11,11,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Toxicodendron rydbergii,Toxicodendron,21,9,3,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Trillium petiolatum,Trillium,16,11,1,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Vicia nigricans var. gigantea,Vicia,23,13,8,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Zigadenus venenosus,Zigadenus,17,13,30,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Zigadenus elegans,Zigadenus,17,13,12,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Ledum groenlandicum,Ledum,92,43,96,67.59833120501315,21.00173880332469,non-woody,0.7167120923023028,1861.716430903986
