Species_full,Family,N_Names,N_Langs,N_Uses,LDMC (g/g),Nmass (mg/g),Woodiness,Plant height (m),Leaf area (mm2)
Cirsium undulatum,Cirsium,44,28,16,78.38279546722184,23.55,non-woody,1.2,2748.9176345194314
Cirsium vulgare,Cirsium,44,28,20,0.131397251,17.26,non-woody,0.92238856,6798.489999999998
Claytonia lanceolata,Claytonia,30,18,13,89.98634279241354,17.6084137170078,non-woody,0.3608202646000632,76.72000000000001
Claytonia sibirica,Claytonia,17,7,14,0.07681,23.732937131450786,non-woody,0.35663531700000006,316.00000000000006
Clematis columbiana,Clematis,10,6,3,178.40351441436874,20.866810979904656,woody,1.5,1841.4315499176744
Clematis ligusticifolia,Clematis,13,7,59,150.92919617888026,20.150242501510895,woody,0.3,3212.999999999998
Clematis occidentalis,Clematis,10,6,3,185.35707219867308,21.014782274058252,woody,2.0356210114272995,1835.5999989606812
Clintonia uniflora,Clintonia,10,9,10,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Comandra umbellata,Comandra,8,4,7,95.0863888253836,16.98419965,non-woody,0.282842712,96.61999999999998
Comarum palustre,Comarum,3,3,4,0.25,13.36,non-woody,0.371233216,2197.209999999999
Cornus canadensis,Cornus,60,30,40,64.78723363639705,18.50784993,non-woody,0.15,771.3799999999998
Cornus nuttallii,Cornus,24,14,30,189.28628729509924,20.069584046796965,woody,14.725854820000002,3200.0000000000027
Cornus sericea,Cornus,76,40,21,168.6856307346116,17.55,woody,2.663296645,2345.5099999999998
Cornus suecica,Cornus,60,30,2,0.197911602,19.88696657,non-woody,0.16496465099999996,301.40000000000003
Corylus cornuta,Corylus,63,29,25,183.62446408194012,19.53619192,woody,3.3940213169999995,3166.4000000000024
Crataegus douglasii,Crataegus,68,25,41,190.88265219428743,21.09643755911808,woody,3.123716806,1747.4588035121758
Delphinium nuttallianum,Delphinium,6,4,2,68.8385506212917,18.541395254670064,non-woody,0.35181946715050455,381.9700000000001
Dicentra formosa,Dicentra,6,4,4,65.24844318798515,20.601892366845878,non-woody,0.564621617,1800.269490866652
Dodecatheon hendersonii,Dodecatheon,15,9,3,68.24123616035584,21.568437186200338,non-woody,0.6412418309775263,1449.4452476038725
Dodecatheon jeffreyi,Dodecatheon,15,9,2,68.24123616035584,21.568437186200338,non-woody,0.6412418309775263,1449.4452476038725
Dodecatheon pulchellum,Dodecatheon,15,9,1,65.27914892417401,25.94875,non-woody,0.6,408.09000000000003
Drosera rotundifolia,Drosera,6,3,2,0.13,12.68845516,non-woody,0.07657072999999999,47.440000000000005
Dryopteris expansa,Dryopteris,66,37,7,269.34,22.11655754,non-woody,1.2,59642.46000000002
Elaeagnus commutata,Elaeagnus,25,11,43,184.7684720281873,20.986139200055227,woody,2.8178319760000003,1772.2778744908542
Empetrum nigrum,Empetrum,42,18,31,279.276306748081,11.41157144,woody,0.21346105600000004,4.8
Epilobium angustifolium,Epilobium,85,43,4,0.304087785,28.6675871,non-woody,0.831719514,2207.7599999999993
Equisetum arvense,Equisetum,89,43,54,181.70286413985,20.03828835,non-woody,0.348986214,112.81999999999995
Equisetum telmateia,Equisetum,89,43,26,119.493333333333,18.229722411052283,non-woody,1.168182022,50.33
Ericameria nauseosa,Ericameria,17,8,41,158.40140460510574,20.773880114261175,woody,1.21,1541.86706623214
Eriophorum angustifolium,Eriophorum,26,8,6,0.326532408,19.2332864,non-woody,0.280294636,1159.4
Erythronium grandiflorum,Erythronium,13,13,25,68.62933723955844,20.60883990241572,non-woody,0.3,2135.49
Fragaria chiloensis,Fragaria,113,51,25,123.772233896639,18.536057252938352,non-woody,0.24,669.0979862488431
Fragaria vesca,Fragaria,113,51,28,388,18.41902786,non-woody,0.11388025699999998,1112.1100000000001
Fragaria virginiana,Fragaria,113,51,76,0.470839011,14.74564927,non-woody,0.10693312799999999,1285.8100000000002
Frangula purshiana,Frangula,52,26,62,202.18991220849946,20.679051538792024,woody,10.33,1462.0803763154265
Fritillaria affinis,Fritillaria,17,13,12,67.03005754114315,20.874769857961052,non-woody,0.635539294163375,1841.635316713281
Fritillaria pudica,Fritillaria,16,9,20,67.39386777794839,18.989759750018717,non-woody,0.3,681.7360427045454
Gaillardia aristata,Gaillardia,12,5,19,66.99482139840266,20.855985183866213,non-woody,0.6,1790.290211811139
Galium aparine,Galium,36,20,19,0.139310853,25.66632034,non-woody,0.389570305,159.04999999999998
Galium triflorum,Galium,36,20,19,57.703070394090496,19.05135813,non-woody,0.43038113359345315,599.9051444032746
Gaultheria shallon,Gaultheria,77,30,82,193.33964357157834,8.890435201,woody,1.471306473,3019.000000000001
