Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Aruncus dioicus,Rosaceae,20,16,10,Aruncus dioicus,NA,41.37404677,non-woody,0.194935887,0.0881,1.103405285,97188.52000000005,40
Asarum caudatum,Aristolochiaceae,23,12,28,Asarum caudatum,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,41
Asclepias speciosa,Apocynaceae,5,4,61,Asclepias speciosa,NA,21.59226082786577,non-woody,11.45868643162722,6.919099999999999,1.82,3634.0492522869904,42
Athyrium filix-femina var. cyclosorum,Dryopteridaceae,30,19,1,Athyrium filix-femina,var. cyclosorum,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,43
Balsamorhiza sagittata,Compositae,31,13,109,Balsamorhiza sagittata,NA,21.96019842951295,non-woody,0.4004227944115886,4.827299999999999,0.6,6992.420000000004,44
Betula nana,Betulaceae,13,11,7,Betula nana,NA,22.6860961,woody,397.52528115384587,0.2214,0.394932857,51.78000000000001,45
Betula occidentalis,Betulaceae,8,7,12,Betula occidentalis,NA,25.56408759465595,woody,273.5364110891063,0.2168,12.345039490000001,1766.4708264128587,46
Betula papyrifera,Betulaceae,56,35,174,Betula papyrifera,NA,23.83371477,woody,400.62000000000006,0.3277999999999999,14.69789012,2536.38,47
Betula pumila subsp. glandulifera,Betulaceae,13,11,3,Betula pumila,subsp. glandulifera,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,48
Blechnum spicant,Blechnaceae,16,12,17,Blechnum spicant,NA,17.732797560300316,non-woody,17.37671724619078,5.1499999999999964e-6,0.371950331,276.1878449188414,49
Boschniakia hookeri,Orobanchaceae,8,5,3,Boschniakia hookeri,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,50
Boschniakia rossica,Orobanchaceae,8,5,1,Boschniakia rossica,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,51
Bromus carinatus,Poaceae,5,6,4,Bromus carinatus,NA,24.700456129462772,non-woody,0.23272,5.907899999999999,1.205,1716.0000000000002,52
Calamagrostis rubescens,Poaceae,18,12,9,Calamagrostis rubescens,NA,25.021480890865675,non-woody,5.703681893450685,0.17,0.91,1519.7170348408856,53
Calochortus macrocarpus,Liliaceae,10,8,17,Calochortus macrocarpus,NA,22.558186378731293,non-woody,0.506144122418262,2.24,0.54,2502.810551789612,54
Calypso bulbosa,Orchidaceae,16,10,1,Calypso bulbosa,NA,19.062117561454013,non-woody,9.068644590176952,5.999999999999997e-4,0.8043943864721196,956.5834228018106,55
Camassia leichtlinii,Asparagaceae,65,33,12,Camassia leichtlinii,NA,24.272703792046446,non-woody,0.6571591606070907,9.35,0.6440755771404283,3612.4303720563794,56
Camassia quamash,Asparagaceae,65,16,50,Camassia quamash,NA,23.137330818943994,non-woody,0.536593244978947,3.9889999999999994,0.7,2759.11832522549,57
Campanula rotundifolia,Campanulaceae,5,4,10,Campanula rotundifolia,NA,19.69810933,non-woody,236.96265356272698,0.05460000000000001,0.227134281,62.66999999999999,58
Carex obnupta,Cyperaceae,46,26,10,Carex obnupta,NA,25.28742919818504,non-woody,4.316780745508825,0.35280000000000006,0.91,1572.1276827784218,59
Carex rostrata,Cyperaceae,46,26,4,Carex rostrata,NA,19.26761453,non-woody,0.23774622899999998,1.034,0.468669026,1698.7700000000004,60
Castilleja hispida,Orobanchaceae,21,15,3,Castilleja hispida,NA,18.807361832680318,non-woody,1.6829679542435914,0.3592,0.45,721.2909058122752,61
Castilleja miniata,Orobanchaceae,21,15,19,Castilleja miniata,NA,18.571261925957838,non-woody,4.938929022894877,0.2496,0.30995266158856744,678.7659980211563,62
Ceanothus sanguineus,Rhamnaceae,23,10,5,Ceanothus sanguineus,NA,28.448465161951802,woody,163.95653973294415,3.3746999999999994,3.04,1905.0490530328998,63
Ceanothus velutinus,Rhamnaceae,23,10,5,Ceanothus velutinus,NA,20,woody,188.16769408093214,4.8155,3.0199337739999996,1498.7941208851892,64
Chamaecyparis nootkatensis,Cupressaceae,42,47,62,Chamaecyparis nootkatensis,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,65
Chenopodium capitatum,Amaranthaceae,15,10,12,Chenopodium capitatum,NA,19.454233198215306,non-woody,0.6006205613972856,0.22840000000000002,0.378224476,458.73621197383386,66
Chimaphila umbellata,Ericaceae,16,11,70,Chimaphila umbellata,NA,11.8577412,woody,93.67136787696094,0.31270714133592864,0.09563748900000002,122.50999999999999,67
Cicuta douglasii,Apiaceae,28,19,31,Cicuta douglasii,NA,21.23608364039792,non-woody,12.338487173507044,2.9335,1.82,4218.042836503813,68
Cicuta virosa,Apiaceae,28,19,6,Cicuta virosa,NA,24.539079019048426,non-woody,0.12123720099999998,1.036,0.876134937,17017.660000000007,69
Cirsium arvense,Compositae,44,28,11,Cirsium arvense,NA,24.72195493,non-woody,105.70997219981496,1.6595,0.652958113,5570.160000000002,70
Cirsium brevistylum,Compositae,44,28,6,Cirsium brevistylum,NA,25.613253832916026,non-woody,1.3032450934047315,1.5792,0.580032979824818,1561.8426291889618,71
Cirsium edule,Asteraceae,44,28,10,Cirsium edule,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,72
Cirsium hookerianum,Asteraceae,44,28,6,Cirsium hookerianum,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,73
Cirsium undulatum,Compositae,44,28,16,Cirsium undulatum,NA,23.55,non-woody,0.8486698870128511,5.4403,1.2,2458.6911163146297,74
Cirsium vulgare,Compositae,44,28,20,Cirsium vulgare,NA,17.26,non-woody,0.131397251,2.6402,0.92238856,6798.489999999998,75
Claytonia lanceolata,Montiaceae,30,18,13,Claytonia lanceolata,NA,11.963452732764027,non-woody,1.0901164259631695,1.11,0.18759042777370957,76.72000000000001,76
Claytonia sibirica,Montiaceae,17,7,14,Claytonia sibirica,NA,29.08936345973931,non-woody,0.07680999999999999,1.1796,0.35663531700000006,316.00000000000006,77
Clematis columbiana,Ranunculaceae,10,6,3,Clematis columbiana,NA,18.61299054797528,woody,115.5157820992696,5.33,1.5,657.1894650093989,78
Clematis ligusticifolia,Ranunculaceae,13,7,59,Clematis ligusticifolia,NA,21.074606934375236,woody,56.38277574830483,2.8439,0.3,3212.999999999998,79
Clematis occidentalis,Ranunculaceae,10,6,3,Clematis occidentalis,NA,26.852150882227196,woody,156.2434267582689,5.27,3.284956243722174,1644.1586591148014,80
Clintonia uniflora,Liliaceae,10,9,10,Clintonia uniflora,NA,20.78952384120746,non-woody,0.7865126823925567,4.962899999999999,0.32694389098195553,1165.3233706988156,81
Comandra umbellata,Santalaceae,8,4,7,Comandra umbellata,NA,16.98419965,non-woody,0.8866946688492585,89.12000000000002,0.282842712,96.61999999999998,82
Comarum palustre,Rosaceae,3,3,4,Comarum palustre,NA,13.36,non-woody,0.25,0.4222,0.371233216,2197.209999999999,83
Conioselinum gmelinii,Apiaceae,29,14,15,Conioselinum gmelinii,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,84
Cornus canadensis,Cornaceae,60,30,40,Cornus canadensis,NA,18.50784993,non-woody,0.8610017313809647,8.7106,0.15,771.3799999999998,85
Cornus nuttallii,Cornaceae,24,14,30,Cornus nuttallii,NA,18.835486538403835,woody,33.510753641786636,91.83589999999998,14.725854820000002,3200.0000000000027,86
Cornus sericea,Cornaceae,76,40,21,Cornus sericea,NA,17.55,woody,85.17855063973744,25.7526,2.663296645,2345.5099999999998,87
Cornus suecica,Cornaceae,60,30,2,Cornus suecica,NA,19.88696657,non-woody,0.197911602,3.4200000000000004,0.16496465099999996,301.40000000000003,88
Cornus unalaschkensis,Cornaceae,60,30,6,Cornus unalaschkensis,NA,20.475420016659125,non-woody,0.4683164929161383,0.3952008650578817,0.36443704188674675,415.60318079894137,89
Corylus cornuta,Betulaceae,63,29,25,Corylus cornuta,NA,19.53619192,woody,35.57447931287921,472.61130000000003,3.3940213169999995,3166.4000000000024,90
Crataegus douglasii,Rosaceae,68,25,41,Crataegus douglasii,NA,22.923061043223402,woody,96.85789937521531,22.1203,3.123716806,1781.3682380944863,91
Delphinium nuttallianum,Ranunculaceae,6,4,2,Delphinium nuttallianum,NA,18.714895716721752,non-woody,0.4725926098072201,0.4033,0.33982777847977624,381.9700000000001,92
Dicentra formosa,Papaveraceae,6,4,4,Dicentra formosa,NA,25.21756963591643,non-woody,1.5373199596110991,1.4209,0.564621617,1543.3523894474656,93
Dodecatheon hendersonii,Primulaceae,15,9,3,Dodecatheon hendersonii,NA,19.19616625930677,non-woody,0.592191446900937,1.1493,0.2469606573087821,515.537069792961,94
Dodecatheon jeffreyi,Primulaceae,15,9,2,Dodecatheon jeffreyi,NA,18.14463669301799,non-woody,1.6401787694784362,0.53,0.2860087968459642,606.8693513640753,95
Dodecatheon pulchellum,Primulaceae,15,9,1,Dodecatheon pulchellum,NA,25.94875,non-woody,0.7317910400197721,0.3836,0.6,408.09000000000003,96
Drosera rotundifolia,Droseraceae,6,3,2,Drosera rotundifolia,NA,12.68845516,non-woody,0.13,0.012899999999999998,0.07657072999999999,47.440000000000005,97
