original_name,Synonym
Heracleum maximum,Heracleum maximum
Heuchera cylindrica,Heuchera cylindrica
Heuchera chlorantha,Heuchera chlorantha
Hierochloe hirta,Hierochloe hirta
Hordeum jubatum,Hordeum jubatum
Holodiscus discolor,Holodiscus discolor
Juncus effusus,Juncus effusus
Kalmia microphylla,Kalmia microphylla
Lathyrus ochroleucus,Lathyrus ochroleucus
Lathyrus japonicus,Lathyrus japonicus
Lathyrus nevadensis,Lathyrus nevadensis
Lewisia rediviva,Lewisia rediviva
Leymus cinereus,Leymus cinereus
Leymus mollis,Leymus mollis
Ligusticum canbyi,Ligusticum canbyi
Ligusticum scoticum,Ligusticum scoticum
Lilium columbianum,Lilium columbianum
Linnaea borealis,Linnaea borealis
Lithospermum ruderale,Lithospermum ruderale
Lomatium canbyi,Lomatium canbyi
Lomatium cous,Lomatium cous
Lomatium dissectum,Lomatium dissectum
Lomatium geyeri,Lomatium geyeri
Lomatium macrocarpum,Lomatium macrocarpum
Lomatium nudicaule,Lomatium nudicaule
Lonicera ciliosa,Lonicera ciliosa
Lonicera involucrata,Lonicera involucrata
Lupinus nootkatensis,Lupinus nootkatensis
Lupinus polyphyllus,Lupinus polyphyllus
Lysichiton americanus,Lysichiton americanus
Mahonia aquifolium,Mahonia aquifolium
Mahonia nervosa,Mahonia nervosa
Maianthemum dilatatum,Maianthemum dilatatum
Maianthemum racemosum ssp. amplexicaule,Maianthemum racemosum subsp. amplexicaule
Malus fusca,Malus fusca
Mentha arvensis,Mentha arvensis
Menziesia ferruginea,Menziesia ferruginea
Moneses uniflora,Moneses uniflora
Monotropa uniflora,Monotropa uniflora
Myrica gale,Myrica gale
Nicotiana attenuata,Nicotiana attenuata
Nicotiana quadrivalvis,Nicotiana quadrivalvis
Nicotiana tabacum,Nicotiana tabacum
Nuphar lutea,Nuphar lutea
Oemleria cerasiformis,Oemleria cerasiformis
Oenanthe sarmentosa,Oenanthe sarmentosa
Oplopanax horridus,Oplopanax horridus
Opuntia fragilis,Opuntia fragilis
Opuntia polyacantha,Opuntia polyacantha
Osmorhiza berteroi,Osmorhiza berteroi
Osmorhiza occidentalis,Osmorhiza occidentalis
Oxalis oregana,Oxalis oregana
Oxyria digyna,Oxyria digyna
Paxistima myrsinites,Paxistima myrsinites
Penstemon fruticosus,Penstemon fruticosus
Perideridia gairdneri,Perideridia gairdneri
Petasites frigidus,Petasites frigidus
Phalaris arundinacea,Phalaris arundinacea
Philadelphus lewisii,Philadelphus lewisii
Phyllospadix scouleri,Phyllospadix scouleri
Physocarpus capitatus,Physocarpus capitatus
Physocarpus malvaceus,Physocarpus malvaceus
Plantago major,Plantago major
Plantago maritima,Plantago maritima
Platanthera dilatata,Platanthera dilatata
Platanthera stricta,Platanthera stricta
Platanthera hyperborea,Platanthera hyperborea
Populus balsamifera ssp. balsamifera,Populus balsamifera
Populus balsamifera ssp. trichocarpa,Populus balsamifera subsp. trichocarpa
Populus tremuloides,Populus tremuloides
Potamogeton natans,Potamogeton natans
Prunus emarginata,Prunus emarginata
Prunus pensylvanica,Prunus pensylvanica
Prunus virginiana,Prunus virginiana
Pseudoroegneria spicata,Pseudoroegneria spicata
Pterospora andromedea,Pterospora andromedea
Purshia tridentata,Purshia tridentata
Pyrola asarifolia,Pyrola asarifolia
Quercus garryana,Quercus garryana
Ranunculus glaberrimus,Ranunculus glaberrimus
Ranunculus acris,Ranunculus acris
Ranunculus occidentalis,Ranunculus occidentalis
Rhodiola rosea,Rhodiola rosea
Rhododendron albiflorum,Rhododendron albiflorum
Rhododendron groenlandicum,Rhododendron groenlandicum
Rhododendron neoglandulosum,Rhododendron neoglandulosum
Rhus glabra,Rhus glabra
Ribes aureum,Ribes aureum
Ribes bracteosum,Ribes bracteosum
Ribes cereum,Ribes cereum
Ribes divaricatum,Ribes divaricatum
Ribes lobbii,Ribes lobbii
Ribes inerme,Ribes inerme
Ribes oxyacanthoides,Ribes oxyacanthoides
Ribes hudsonianum,Ribes hudsonianum
Ribes lacustre,Ribes lacustre
Ribes laxiflorum,Ribes laxiflorum
Ribes glandulosum,Ribes glandulosum
Ribes sanguineum,Ribes sanguineum
Ribes triste,Ribes triste
Rosa acicularis,Rosa acicularis
Rosa nutkana,Rosa nutkana
Rosa pisocarpa,Rosa pisocarpa
Rosa woodsii,Rosa woodsii
Rosa gymnocarpa,Rosa gymnocarpa
Rubus arcticus,Rubus arcticus
Rubus chamaemorus,Rubus chamaemorus
Rubus idaeus,Rubus idaeus
Rubus leucodermis,Rubus leucodermis
Rubus parviflorus,Rubus parviflorus
Rubus pedatus,Rubus pedatus
Rubus pubescens,Rubus pubescens
Rubus spectabilis,Rubus spectabilis
Rubus ursinus,Rubus ursinus
Rumex aquaticus,Rumex aquaticus
Sagittaria latifolia,Sagittaria latifolia
Sagittaria cuneata,Sagittaria cuneata
Salix barclayi,Salix barclayi
Salix bebbiana,Salix bebbiana
Salix discolor,Salix discolor
Salix hookeriana,Salix hookeriana
Salix scouleriana,Salix scouleriana
Salix sitchensis,Salix sitchensis
Salix exigua,Salix exigua
Salix lucida,Salix lucida
Sambucus nigra,Sambucus nigra
Sambucus racemosa,Sambucus racemosa
Schoenoplectus acutus,Schoenoplectus acutus
Schoenoplectus americanus,Schoenoplectus americanus
Scirpus microcarpus,Scirpus microcarpus
Sedum divergens,Sedum divergens
Sedum oreganum,Sedum oreganum
Shepherdia canadensis,Shepherdia canadensis
Sium suave,Sium suave
Solidago canadensis,Solidago canadensis
Sorbus sitchensis,Sorbus sitchensis
Sorbus scopulina,Sorbus scopulina
Spiraea betulifolia,Spiraea betulifolia
Spiraea douglasii,Spiraea douglasii
Stachys chamissonis,Stachys chamissonis
Streptopus amplexifolius,Streptopus amplexifolius
Streptopus streptopoides,Streptopus streptopoides
Symphoricarpos albus,Symphoricarpos albus
Thalictrum occidentale,Thalictrum occidentale
Toxicodendron rydbergii,Toxicodendron rydbergii
Trifolium wormskioldii,Trifolium wormskioldii
Triglochin maritima,Triglochin maritima
Trillium ovatum,Trillium ovatum
Trillium petiolatum,Trillium petiolatum
Triteleia grandiflora,Triteleia grandiflora
Typha latifolia,Typha latifolia
Urtica dioica,Urtica dioica
Vaccinium alaskaense,Vaccinium alaskaense
Vaccinium caespitosum,Vaccinium caespitosum
Vaccinium membranaceum,Vaccinium membranaceum
Vaccinium myrtilloides,Vaccinium myrtilloides
Vaccinium ovalifolium,Vaccinium ovalifolium
Vaccinium ovatum,Vaccinium ovatum
Vaccinium oxycoccos,Vaccinium oxycoccos
Vaccinium parvifolium,Vaccinium parvifolium
Vaccinium scoparium,Vaccinium scoparium
Vaccinium myrtillus,Vaccinium myrtillus
Vaccinium uliginosum,Vaccinium uliginosum
Vaccinium vitis-idaea,Vaccinium vitis-idaea
Valeriana edulis,Valeriana edulis
Valeriana sitchensis,Valeriana sitchensis
Veratrum viride,Veratrum viride
Viburnum edule,Viburnum edule
Viburnum opulus,Viburnum opulus
Vicia nigricans ssp. gigantea,Vicia nigricans subsp. gigantea
Viola adunca,Viola adunca
Xerophyllum tenax,Xerophyllum tenax
Zigadenus venenosus,Zigadenus venenosus
Zigadenus elegans,Zigadenus elegans
Zostera marina,Zostera marina
Hierochloe odorata,Hierochloe odorata
Rhododendron columbianum,Rhododendron columbianum
Alnus incana subsp. tenuifolia,Alnus incana subsp. tenuifolia
Arctous alpina,Arctous alpina
Ericameria nauseosa var. nauseosa,Ericameria nauseosa
Populus balsamifera,Populus balsamifera
Potamogeton nitens,Potamogeton natans
Rhodiola rosea var. rosea,Rhodiola rosea
Adiantum aleuticum,Adiantum pedatum
Alnus incana ssp. tenuifolia,Alnus incana ssp. tenuifolia
Argentina anserina,Potentilla anserina
Argentina egedii,Potentilla anserina ssp. groenlandica
Betula pumila var. glandulifera,Betula pumila
Chamaecyparis nootkatensis,Cupressus nootkatensis
Cornus unalaschkensis,Cornus canadensis
