Species,Ssp,Var,author,Ssp_author,Synonym (scientific name),Common (Western) name,Family,Covered in TRY?,Covered in Native American Ethnobotany database?,Covered in Pierce et al. 2017?,Covered in knb?,IUCN Status,TRY data available,Species_full,Species_full_author,Synonym,original_name,Genus
Abies amabilis,,,(Douglas ex Louden) Douglas ex Forbes,,/,NA,Pinaceae,Y,Y,N,Y (germination),Stable (Least Concern),requested,Abies amabilis,Abies amabilis (Douglas ex Louden) Douglas ex Forbes,Abies amabilis,Abies amabilis,Abies
Abies grandis,,,(Douglas ex D. Don) Lindl.,,/,NA,Pinaceae,Y,Y,N,N,Stable (Least Concern),requested,Abies grandis,Abies grandis (Douglas ex D. Don) Lindl.,Abies grandis,Abies grandis,Abies
Abies lasiocarpa,,,(Hook.) Nutt,,/,NA,Pinaceae,Y,Y,N,Y,Stable (Least Concern),requested,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt,Abies lasiocarpa,Abies lasiocarpa,Abies
Chamaecyparis nootkatensis,,,(D. Don) Spach,,Cupressus nootkatensis D. Don,NA,Cupressaceae,N,Y,N,Y (Chamaecyparis spp.),Stable (Least Concern),requested,Chamaecyparis nootkatensis,Chamaecyparis nootkatensis (D. Don) Spach,Chamaecyparis nootkatensis,Chamaecyparis nootkatensis,Chamaecyparis
Juniperus communis,,,L.,,NA,NA,Cupressaceae,Y,Y,Y,Y,Increasing (Least Concern),requested,Juniperus communis,Juniperus communis L.,Juniperus communis,Juniperus communis,Juniperus
Juniperus scopulorum,,,Sarg.,,NA,Rocky Mountain Juniper,Cupressaceae,Y,Y,N,Y,Increasing (Least Concern),requested,Juniperus scopulorum,Juniperus scopulorum Sarg.,Juniperus scopulorum,Juniperus scopulorum,Juniperus
Juniperus maritima,,,Adams,,NA,Seaside Juniper,Cupressaceae,Y,N,N,N,Increasing (Least Concern),not available?,Juniperus maritima,Juniperus maritima Adams,Juniperus maritima,Juniperus maritima,Juniperus
Larix laricina,,,(Du Roi) K. Koch,,NA,tamarack/alpine larch,Pinaceae,Y,Y,N,Y,Stable (Least Concern),requested,Larix laricina,Larix laricina (Du Roi) K. Koch,Larix laricina,Larix laricina,Larix
Larix occidentalis,,,Nutt.,,NA,western larch,Pinaceae,Y,Y,N,N,Stable (Least Concern),requested,Larix occidentalis,Larix occidentalis Nutt.,Larix occidentalis,Larix occidentalis,Larix
Picea engelmannii,,,Parry ex Engelm,,NA,Engelmann spruce,Pinaceae,Y,Y,N,Y,Stable (Least Concern),requested,Picea engelmannii,Picea engelmannii Parry ex Engelm,Picea engelmannii,Picea engelmannii,Picea
Picea glauca,,,(Moench) Voss,,NA,white spruce,Pinaceae,Y,Y,N,Y,Stable (Least Concern),requested,Picea glauca,Picea glauca (Moench) Voss,Picea glauca,Picea glauca,Picea
Picea mariana,,,"(Mill.) Britton, Sterns&Poggenb.",,NA,black spruce,Pinaceae,Y,Y,N,Y,Stable (Least Concern),requested,Picea mariana,"Picea mariana (Mill.) Britton, Sterns&Poggenb.",Picea mariana,Picea mariana,Picea
Picea sitchensis,,,(Bong.) Carriere,,NA,sitka spruce,Pinaceae,Y,Y,Y,N,Stable (Least Concern),requested,Picea sitchensis,Picea sitchensis (Bong.) Carriere,Picea sitchensis,Picea sitchensis,Picea
Pinus albicaulis,,,Engelm.,,NA,whitebark pine,Pinaceae,Y,Y,N,Y (pres/abs),Decreasing (Endangered),requested,Pinus albicaulis,Pinus albicaulis Engelm.,Pinus albicaulis,Pinus albicaulis,Pinus
Pinus contorta,,,Douglas ex Louden,,NA,lodgepole pine,Pinaceae,Y,Y,N,Y (germination),Stable (Least Concern),requested,Pinus contorta,Pinus contorta Douglas ex Louden,Pinus contorta,Pinus contorta,Pinus
Pinus monticola,,,Douglas ex D. Don,,NA,western white pine,Pinaceae,Y,Y,N,N,Decreasing (Near threatened),requested,Pinus monticola,Pinus monticola Douglas ex D. Don,Pinus monticola,Pinus monticola,Pinus
Pinus ponderosa,,,C. Lawson,,NA,ponderosa pine,Pinaceae,Y,Y,Y,Y,Stable (Least Concern),requested,Pinus ponderosa,Pinus ponderosa C. Lawson,Pinus ponderosa,Pinus ponderosa,Pinus
Pseudotsuga menziesii,,,(Mirb.) Franco,,NA,Douglas-fir,Pinaceae,Y,Y,N,NA,Stable (Least Concern),requested,Pseudotsuga menziesii,Pseudotsuga menziesii (Mirb.) Franco,Pseudotsuga menziesii,Pseudotsuga menziesii,Pseudotsuga
Taxus brevifolia,,,Nutt.,,NA,Pacific yew/western yew,Taxaceae,Y,Y,N,NA,Decreasing (Near threatened),requested,Taxus brevifolia,Taxus brevifolia Nutt.,Taxus brevifolia,Taxus brevifolia,Taxus
Thuja plicata,,,Donn ex D. Don,,NA,western redcedar,Cupressaceae,Y,Y,N,NA,Stable (Least Concern),requested,Thuja plicata,Thuja plicata Donn ex D. Don,Thuja plicata,Thuja plicata,Thuja
Tsuga heterophylla,,,(Raf.) Sarg.,,NA,western hemlock,Pinaceae,Y,Y,N,Y (germination),Increasing (Least Concern),requested,Tsuga heterophylla,Tsuga heterophylla (Raf.) Sarg.,Tsuga heterophylla,Tsuga heterophylla,Tsuga
Tsuga mertensiana,,,(Bong.)Carriere,,NA,mountain hemlock,Pinaceae,Y,Y,N,Y (germination),Increasing (Least Concern),requested,Tsuga mertensiana,Tsuga mertensiana (Bong.)Carriere,Tsuga mertensiana,Tsuga mertensiana,Tsuga
Equisetum arvense,,,L.,,/,NA,Equisetaceae,Y,Y,Y,NA,Unknown (Least Concern),requested,Equisetum arvense,Equisetum arvense L.,Equisetum arvense,Equisetum arvense,Equisetum
Equisetum telmateia,,,Ehrh.,,/,NA,Equisetaceae,Y,Y,Y,NA,Increasing (Least Concern),requested,Equisetum telmateia,Equisetum telmateia Ehrh.,Equisetum telmateia,Equisetum telmateia,Equisetum
Equisetum hyemale,ssp. affine,,L.,(Engelm.) Calder & Roy L. Taylor,/,NA,Equisetaceae,Y,Y,N,NA,/,requested,Equisetum hyemale subsp. affine,Equisetum hyemale L. ssp. affine (Engelm.) Calder & Roy L. Taylor,Equisetum hyemale subsp. affine,Equisetum hyemale ssp. affine,Equisetum
Lycopodium clavatum,,,L.,,/,NA,Lycopodiaceae,Y,Y,Y,NA,/,requested,Lycopodium clavatum,Lycopodium clavatum L.,Lycopodium clavatum,Lycopodium clavatum,Lycopodium
Adiantum aleuticum,,,(Rupr.) Paris (syn. A. pedatum L.),,/,NA,Pteridaceae,Y,Y,N,NA,/,requested,Adiantum aleuticum,Adiantum aleuticum (Rupr.) Paris (syn. A. pedatum L.),Adiantum aleuticum,Adiantum aleuticum,Adiantum
Athyrium filix-femina,ssp. cyclosorum,,(L.) Roth.,(Rupr.) C. Chr.,Athyrium filix-foemina (L.) Roth,NA,Dryopteridaceae,Y,Y,Y (different family specified),NA,/,requested,Athyrium filix-femina subsp. cyclosorum,Athyrium filix-femina (L.) Roth. ssp. cyclosorum (Rupr.) C. Chr.,Athyrium filix-femina subsp. cyclosorum,Athyrium filix-femina ssp. cyclosorum,Athyrium
Blechnum spicant,,,(L.) Sm.,,NA,deer fern,Blechnaceae,Y,Y,Y,NA,/,requested,Blechnum spicant,Blechnum spicant (L.) Sm.,Blechnum spicant,Blechnum spicant,Blechnum
Dryopteris expansa,,,(K.B. Presl) Fraser-Jenkins & Jermy,,NA,spiny wood fern,Dryopteridaceae,Y,Y,Y,NA,/,requested,Dryopteris expansa,Dryopteris expansa (K.B. Presl) Fraser-Jenkins & Jermy,Dryopteris expansa,Dryopteris expansa,Dryopteris
Gymnocarpium dryopteris,,,s (L.) Newm.,,NA,oak fern,Dryopteridaceae,Y,Y,Y,NA,/,requested,Gymnocarpium dryopteris,Gymnocarpium dryopteris s (L.) Newm.,Gymnocarpium dryopteris,Gymnocarpium dryopteris,Gymnocarpium
Polypodium glycyrrhiza,,,D.C. Eaton,,NA,licorice fern,Polypodiaceae,Y,Y,N,NA,/,requested,Polypodium glycyrrhiza,Polypodium glycyrrhiza D.C. Eaton,Polypodium glycyrrhiza,Polypodium glycyrrhiza,Polypodium
Polystichum munitum,,,(Kaulf.) C. Presl,,NA,western swordfern,Dryopteridaceae,Y,Y,N,NA,/,requested,Polystichum munitum,Polystichum munitum (Kaulf.) C. Presl,Polystichum munitum,Polystichum munitum,Polystichum
Pteridium aquilinum,,,m (L.) Kuhn,,NA,bracken fern,Denstaedtiaceae,Y,Y,Y,NA,Stable (Least Concern),requested,Pteridium aquilinum,Pteridium aquilinum m (L.) Kuhn,Pteridium aquilinum,Pteridium aquilinum,Pteridium
Acer circinatum,,,Pursh,,/,NA,Aceraceae,Y,Y,N,NA,Stable (Least Concern),requested,Acer circinatum,Acer circinatum Pursh,Acer circinatum,Acer circinatum,Acer
Acer glabrum,,,Torr.,,/,NA,Aceraceae,Y,Y,N,NA,Unknown (Least Concern),requested,Acer glabrum,Acer glabrum Torr.,Acer glabrum,Acer glabrum,Acer
Acer macrophyllum,,,Pursh,,/,NA,Aceraceae,Y,Y,N,NA,Unknown (Least Concern),requested,Acer macrophyllum,Acer macrophyllum Pursh,Acer macrophyllum,Acer macrophyllum,Acer
Achillea millefolium,,,L.,,/,NA,Asteraceae,Y,Y,N,NA,Unknown (Least Concern),requested,Achillea millefolium,Achillea millefolium L.,Achillea millefolium,Achillea millefolium,Achillea
Achlys triphylla,,,(Smith) DC,,/,NA,Berberidaceae,Y,Y,N,NA,/,requested,Achlys triphylla,Achlys triphylla (Smith) DC,Achlys triphylla,Achlys triphylla,Achlys
Actaea rubra,,,(Aiton) Willd,,/,NA,Ranunculaceae,Y,Y,N,NA,/,requested,Actaea rubra,Actaea rubra (Aiton) Willd,Actaea rubra,Actaea rubra,Actaea
Agoseris glauca,,,(Pursh) Raf.,,/,NA,Asteraceae,Y,Y,Y,NA,/,requested,Agoseris glauca,Agoseris glauca (Pursh) Raf.,Agoseris glauca,Agoseris glauca,Agoseris
Allium cernuum,,,Roth,,NA,nodding onion,Liliaceae,Y,Y,N,NA,/,requested,Allium cernuum,Allium cernuum Roth,Allium cernuum,Allium cernuum,Allium
Allium schoenoprasum,,var. sibiricum,(L.) Hartm.,,NA,wild chives,Liliaceae,Y,Y,N,NA,Stable (Least Concern),"requested, but as Allium schoenoprasum since var. type was not found",Allium schoenoprasum var. sibiricum,Allium schoenoprasum var. sibiricum (L.) Hartm.,Allium schoenoprasum var. sibiricum,Allium schoenoprasum var. sibiricum,Allium
Allium geyeri,,,S. Watson,,NA,Geyer's onion,Liliaceae,Y,Y,N,NA,Unknown (Least Concern),requested,Allium geyeri,Allium geyeri S. Watson,Allium geyeri,Allium geyeri,Allium
Alnus incana,ssp. tenuifolia,,(L.) Moench,(Nutt.) Breitung,NA,mountain alder,Betulaceae,Y,Y,Y (not spp.),NA,Stable (Least Concern),requested,Alnus incana subsp. tenuifolia,Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung,Alnus incana subsp. tenuifolia,Alnus incana ssp. tenuifolia,Alnus
Alnus viridis,ssp. crispa,,(Chaix) DC.,(Aiton) Turrill,NA,green alder,Betulaceae,Y,Y,Y (not spp.),NA,/,not found,Alnus viridis subsp. crispa,Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill,Alnus viridis subsp. crispa,Alnus viridis ssp. crispa,Alnus
Alnus viridis,ssp. sinuata,,(Chaix) DC.,(Regel) A. Löve & D. Löve,NA,Sitka alder,Betulaceae,Y,Y,Y (not spp.),NA,/,not found,Alnus viridis subsp. sinuata,Alnus viridis (Chaix) DC. ssp. sinuata (Regel) A. Löve & D. Löve,Alnus viridis subsp. sinuata,Alnus viridis ssp. sinuata,Alnus
Alnus rubra,,,Bong,,NA,red alder,Betulaceae,Y,Y,N,NA,Stable (Least Concern),requested,Alnus rubra,Alnus rubra Bong,Alnus rubra,Alnus rubra,Alnus
Amelanchier alnifolia,,,Nutt. ex M. Roem.,,NA,saskatoonberry,Rosaceae,Y,Y,N,NA,Stable (Least Concern),requested,Amelanchier alnifolia,Amelanchier alnifolia Nutt. ex M. Roem.,Amelanchier alnifolia,Amelanchier alnifolia,Amelanchier
Anaphalis margaritacea,,,(L.) Benth.,,NA,pearly everlasting,Asteraceae,Y,Y,Y,NA,/,requested,Anaphalis margaritacea,Anaphalis margaritacea (L.) Benth.,Anaphalis margaritacea,Anaphalis margaritacea,Anaphalis
Anemone multifida,,,Poir.,,NA,Pacific anemone,Ranunculaceae,Y,Y,N,NA,/,requested,Anemone multifida,Anemone multifida Poir.,Anemone multifida,Anemone multifida,Anemone
Angelica genuflexa,,,Nutt.,,NA,kneeling angelica,Apiaceae,Y,Y,N,NA,/,requested,Angelica genuflexa,Angelica genuflexa Nutt.,Angelica genuflexa,Angelica genuflexa,Angelica
Angelica lucida,,,L.,,NA,seacoast angelica/sea-watch/wild celery,Apiaceae,Y,Y,N,NA,/,requested,Angelica lucida,Angelica lucida L.,Angelica lucida,Angelica lucida,Angelica
Antennaria neglecta,,,Greene,,NA,field pussytoes,Asteraceae,Y,Y,N,NA,/,requested,Antennaria neglecta,Antennaria neglecta Greene,Antennaria neglecta,Antennaria neglecta,Antennaria
Apocynum cannabinum,,,L.,,NA,Indian-hemp,Apocynaceae,Y,Y,N,NA,/,requested,Apocynum cannabinum,Apocynum cannabinum L.,Apocynum cannabinum,Apocynum cannabinum,Apocynum
Apocynum androsaemifolium,,,L.,,NA,spreading dogbane,Apocynaceae,Y,Y,Y,NA,/,requested,Apocynum androsaemifolium,Apocynum androsaemifolium L.,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum
Aquilegia formosa,,,Fisch. ex DC.,,NA,western columbine,Ranunculaceae,Y,Y,N,NA,/,requested,Aquilegia formosa,Aquilegia formosa Fisch. ex DC.,Aquilegia formosa,Aquilegia formosa,Aquilegia
Aralia nudicaulis,,,L.,,NA,wild sarsaparilla,Araliaceae,Y,Y,N,NA,/,requested,Aralia nudicaulis,Aralia nudicaulis L.,Aralia nudicaulis,Aralia nudicaulis,Aralia
Arbutus menziesii,,,Pursh,,NA,Arbutus/Pacific madrone,Ericaceae,Y,Y,N,NA,Stable (Least Concern),requested,Arbutus menziesii,Arbutus menziesii Pursh,Arbutus menziesii,Arbutus menziesii,Arbutus
Arctostaphylos uva-ursi,,,(L.) Spreng.,,NA,kinnikinnick/bearberry,Ericaceae,Y,Y,Y,NA,/,requested,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi (L.) Spreng.,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,Arctostaphylos
Arctous rubra,,,(Rehder.& E.H. Wilson),,Arctostaphylos rubra (Red. & Wilson) Fern.,red bearberry,Ericaceae,Y,Y,N,NA,/,not found,Arctous rubra,Arctous ruber (Rehder.& E.H. Wilson),Arctous rubra,Arctous ruber,Arctous
Argentina egedii,,,(Wormsk.) Rydb.,,NA,pacific silverweed,Rosaceae,Y,Y,N,NA,/,not found,Argentina egedii,Argentina egedii (Wormsk.) Rydb.,Argentina egedii,Argentina egedii,Argentina
Argentina anserina,,,(L.) Rydb.,,NA,common silverweed,Rosaceae,N,Y,N,NA,Unknown (Least Concern),requested,Argentina anserina,Argentina anserina (L.) Rydb.,Argentina anserina,Argentina anserina,Argentina
Arnica cordifolia,,,Hook.,,NA,heartleaved arnica,Asteraceae,Y,Y,N,NA,/,requested,Arnica cordifolia,Arnica cordifolia Hook.,Arnica cordifolia,Arnica cordifolia,Arnica
Artemisia dracunculus,,,L.,,NA,wild tarragon/dragon sagewort,Asteraceae,Y,Y,Y,NA,/,requested,Artemisia dracunculus,Artemisia dracunculus L.,Artemisia dracunculus,Artemisia dracunculus,Artemisia
Artemisia frigida,,,Willd.,,NA,northern wormwood/prairie sagewort,Asteraceae,Y,Y,N,NA,/,requested,Artemisia frigida,Artemisia frigida Willd.,Artemisia frigida,Artemisia frigida,Artemisia
Artemisia ludoviciana,,,Nutt.,,NA,white sagebrush,Asteraceae,Y,Y,Y,NA,/,requested,Artemisia ludoviciana,Artemisia ludoviciana Nutt.,Artemisia ludoviciana,Artemisia ludoviciana,Artemisia
Artemisia tilesii,,,Ledeb.,,NA,"Tilesius’ wormwood, or “caribou leaves”",Asteraceae,Y,Y,N,NA,/,requested,Artemisia tilesii,Artemisia tilesii Ledeb.,Artemisia tilesii,Artemisia tilesii,Artemisia
Artemisia tridentata,,,Nutt.,,NA,big sagebrush,Asteraceae,Y,Y,N,NA,Stable (Least Concern),requested,Artemisia tridentata,Artemisia tridentata Nutt.,Artemisia tridentata,Artemisia tridentata,Artemisia
Aruncus dioicus,,,(Walter) Fernald,,NA,goatsbeard/bride's father,Rosaceae,Y,Y,Y,NA,/,requested,Aruncus dioicus,Aruncus dioicus (Walter) Fernald,Aruncus dioicus,Aruncus dioicus,Aruncus
Asarum caudatum,,,Lindl.,,NA,wild ginger,Aristolochiaceae,Y,Y,N,NA,/,requested,Asarum caudatum,Asarum caudatum Lindl.,Asarum caudatum,Asarum caudatum,Asarum
Asclepias speciosa,,,Torr.,,NA,common milkweed,Asclepiadaceae,Y,Y,N,NA,/,requested,Asclepias speciosa,Asclepias speciosa Torr.,Asclepias speciosa,Asclepias speciosa,Asclepias
Balsamorhiza sagittata,,,(Pursh) Nutt.,,NA,arrowleaf balsamroot/spring sunflower,Asteraceae,Y,Y,N,NA,/,requested,Balsamorhiza sagittata,Balsamorhiza sagittata (Pursh) Nutt.,Balsamorhiza sagittata,Balsamorhiza sagittata,Balsamorhiza
Betula nana,,,L.,,NA,scrub birch,Betulaceae,Y,Y,Y,NA,Stable (Least Concern),requested,Betula nana,Betula nana L.,Betula nana,Betula nana,Betula
Betula pumila,,var. glandulifera,Regel,,NA,bog birch,Betulaceae,Y,Y,N,NA,Stable (Least Concern),found w/o var. glandulifolia,Betula pumila var. glandulifera,Betula pumila var. glandulifera Regel,Betula pumila var. glandulifera,Betula pumila var. glandulifera,Betula
Betula occidentalis,,,Hook.,,NA,water birch,Betulaceae,Y,Y,N,NA,Stable (Least Concern),requested,Betula occidentalis,Betula occidentalis Hook.,Betula occidentalis,Betula occidentalis,Betula
Betula papyrifera,,,Marsh.,,NA,paper birch,Betulaceae,Y,Y,N,NA,Stable (Least Concern),requested,Betula papyrifera,Betula papyrifera Marsh.,Betula papyrifera,Betula papyrifera,Betula
Boschniakia hookeri,,,Walp.,,NA,groundcone/poque,Orobanchaceae,Y,Y,N,NA,/,requested,Boschniakia hookeri,Boschniakia hookeri Walp.,Boschniakia hookeri,Boschniakia hookeri,Boschniakia
Boschniakia rossica,,,(Cham. & Schltdl.) Fedtsch.,,NA,northern groundcone,Orobanchaceae,Y,Y,N,NA,/,requested,Boschniakia rossica,Boschniakia rossica (Cham. & Schltdl.) Fedtsch.,Boschniakia rossica,Boschniakia rossica,Boschniakia
Bromus carinatus,,,Hook. & Arn.,,NA,bromegrass,Poaceae,Y,Y,N,NA,/,requested,Bromus carinatus,Bromus carinatus Hook. & Arn.,Bromus carinatus,Bromus carinatus,Bromus
Calamagrostis rubescens,,,Buckley,,NA,pinegrass/timbergrass,Poaceae,Y,Y,N,NA,/,requested,Calamagrostis rubescens,Calamagrostis rubescens Buckley,Calamagrostis rubescens,Calamagrostis rubescens,Calamagrostis
Calochortus macrocarpus,,,Douglas,,NA,sagebrush mariposa lily,Liliaceae,Y,Y,N,NA,/,requested,Calochortus macrocarpus,Calochortus macrocarpus Douglas,Calochortus macrocarpus,Calochortus macrocarpus,Calochortus
Calypso bulbosa,,,(L.) Oakes,,NA,false ladyslipper/fairy slipper,Orchidaceae,Y,Y,N,NA,/,requested,Calypso bulbosa,Calypso bulbosa (L.) Oakes,Calypso bulbosa,Calypso bulbosa,Calypso
Camassia quamash,,,(Pursh) Greene,,NA,common camas,Liliaceae,Y,Y,N,NA,/,requested,Camassia quamash,Camassia quamash (Pursh) Greene,Camassia quamash,Camassia quamash,Camassia
Camassia leichtlinii,,,(Baker) S. Watson,,NA,NA,Liliaceae,Y,Y,N,NA,/,requested,Camassia leichtlinii,Camassia leichtlinii (Baker) S. Watson,Camassia leichtlinii,Camassia leichtlinii,Camassia
Campanula rotundifolia,,,L.,,NA,blue harebell,Campanulaceae,Y,Y,this dataset does not seem worth it,NA,/,requested,Campanula rotundifolia,Campanula rotundifolia L.,Campanula rotundifolia,Campanula rotundifolia,Campanula
Carex obnupta,,,L.H. Bailey,,NA,slough sedge,Cyperaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Carex obnupta,Carex obnupta L.H. Bailey,Carex obnupta,Carex obnupta,Carex
Carex rostrata,,,Stokes,,NA,beaked sedge,Cyperaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Carex rostrata,Carex rostrata Stokes,Carex rostrata,Carex rostrata,Carex
Castilleja miniata,,,Douglas ex Hook.,,NA,red paintbrush,Scrophulariaceae,Y,Y,NA,NA,/,requested,Castilleja miniata,Castilleja miniata Douglas ex Hook.,Castilleja miniata,Castilleja miniata,Castilleja
Castilleja hispida,,,Benth.,,NA,harsh paintbruch,Scrophulariaceae,Y,Y,NA,NA,/,requested,Castilleja hispida,Castilleja hispida Benth.,Castilleja hispida,Castilleja hispida,Castilleja
Ceanothus sanguineus,,,Pursh,,NA,buckbrush/restem ceanothus,Rhamnaceae,Y,Y,NA,NA,/,requested,Ceanothus sanguineus,Ceanothus sanguineus Pursh,Ceanothus sanguineus,Ceanothus sanguineus,Ceanothus
Ceanothus velutinus,,,Douglas ex Hook.,,NA,snowbrush,Rhamnaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Ceanothus velutinus,Ceanothus velutinus Douglas ex Hook.,Ceanothus velutinus,Ceanothus velutinus,Ceanothus
Chenopodium capitatum,,,(L.) Asch.,,NA,strawberry blite,Chenopodiaceae,Y,Y,NA,NA,/,requested,Chenopodium capitatum,Chenopodium capitatum (L.) Asch.,Chenopodium capitatum,Chenopodium capitatum,Chenopodium
Chimaphila umbellata,,,(L.) W. Bartram,,NA,pipsissewa/prince's pine,Ericaceae,Y,Y,NA,NA,/,requested,Chimaphila umbellata,Chimaphila umbellata (L.) W. Bartram,Chimaphila umbellata,Chimaphila umbellata,Chimaphila
Cicuta douglasii,,,(DC.) J.M. Coult. & Rose,,NA,Douglas’ water-hemlock,Apiaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Cicuta douglasii,Cicuta douglasii (DC.) J.M. Coult. & Rose,Cicuta douglasii,Cicuta douglasii,Cicuta
Cicuta virosa,,,L.,,NA,Mackenzie’s water-hemlock,Apiaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Cicuta virosa,Cicuta virosa L.,Cicuta virosa,Cicuta virosa,Cicuta
Cirsium brevistylum,,,Cronquist,,NA,clustered thistle,Asteraceae,Y,Y,NA,NA,/,requested,Cirsium brevistylum,Cirsium brevistylum Cronquist,Cirsium brevistylum,Cirsium brevistylum,Cirsium
Cirsium edule,,,Nutt.,,NA,edibel thistle,Asteraceae,Y,Y,NA,NA,/,requested,Cirsium edule,Cirsium edule Nutt.,Cirsium edule,Cirsium edule,Cirsium
Cirsium hookerianum,,,Nutt.,,NA,white thistle,Asteraceae,Y,Y,NA,NA,/,requested,Cirsium hookerianum,Cirsium hookerianum Nutt.,Cirsium hookerianum,Cirsium hookerianum,Cirsium
Cirsium undulatum,,,Nutt.,,NA,wavyleaf thistle,Asteraceae,Y,Y,NA,NA,/,requested,Cirsium undulatum,Cirsium undulatum Nutt.,Cirsium undulatum,Cirsium undulatum,Cirsium
Cirsium arvense,,,(L.) Scop.,,NA,Canada thistle,Asteraceae,Y,Y,NA,NA,/,requested,Cirsium arvense,Cirsium arvense (L.) Scop.,Cirsium arvense,Cirsium arvense,Cirsium
Cirsium vulgare,,,(Savi) Ten.,,NA,Scottish thistle/bull thistle,Asteraceae,Y,Y,NA,NA,/,requested,Cirsium vulgare,Cirsium vulgare (Savi) Ten.,Cirsium vulgare,Cirsium vulgare,Cirsium
Claytonia lanceolata,,,Pall. ex Pursh,,NA,spring beauty/mountain pine,Portulacaceae,Y,Y,NA,NA,/,requested,Claytonia lanceolata,Claytonia lanceolata Pall. ex Pursh,Claytonia lanceolata,Claytonia lanceolata,Claytonia
Claytonia sibirica,,,L.,,NA,Siberian miner’s lettuce,Portulacaceae,Y,Y,NA,NA,/,requested,Claytonia sibirica,Claytonia sibirica L.,Claytonia sibirica,Claytonia sibirica,Claytonia
Clematis columbiana,,,(Nutt.) Torr. & A. Gray,,NA,rock blue clematis,Ranunculaceae,Y,Y,NA,NA,/,requested,Clematis columbiana,Clematis columbiana (Nutt.) Torr. & A. Gray,Clematis columbiana,Clematis columbiana,Clematis
Clematis occidentalis,,,(Hornem.) DC.,,NA,western blue clematis/blue virgin’s-bower,Ranunculaceae,Y,Y,NA,NA,/,requested,Clematis occidentalis,Clematis occidentalis (Hornem.) DC.,Clematis occidentalis,Clematis occidentalis,Clematis
Clematis ligusticifolia,,,Nutt.,,NA,western white clematis,Ranunculaceae,Y,Y,NA,NA,/,requested,Clematis ligusticifolia,Clematis ligusticifolia Nutt.,Clematis ligusticifolia,Clematis ligusticifolia,Clematis
Clintonia uniflora,,,(Menzies ex Schult. & Schult. f.) Kunth,,NA,Queenscup,Liliaceae,Y,Y,NA,NA,/,requested,Clintonia uniflora,Clintonia uniflora (Menzies ex Schult. & Schult. f.) Kunth,Clintonia uniflora,Clintonia uniflora,Clintonia
Comandra umbellata,,,(L.) Nutt.,,NA,bastard toadflax,Santalaceae,Y,Y,NA,NA,/,requested,Comandra umbellata,Comandra umbellata (L.) Nutt.,Comandra umbellata,Comandra umbellata,Comandra
Comarum palustre,,,L.,,NA,purple marshlocks/marsh cinquefoil,Rosaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Comarum palustre,Comarum palustre L.,Comarum palustre,Comarum palustre,Comarum
Conioselinum gmelinii,,,(Cham. & Schltdl.) Steud.,,NA,Pacific hemlockparsley,Apiaceae,N,Y,NA,NA,/,not found,Conioselinum gmelinii,Conioselinum gmelinii (Cham. & Schltdl.) Steud.,Conioselinum gmelinii,Conioselinum gmelinii,Conioselinum
Cornus canadensis,,,L.,,NA,Canada bunchberry/dwarf dogwood,Cornaceae,Y,Y,NA,NA,/,requested,Cornus canadensis,Cornus canadensis L.,Cornus canadensis,Cornus canadensis,Cornus
Cornus unalaschkensis,,,Ledeb.,,NA,western cordilleran bunchberry,Cornaceae,Y,Y,NA,NA,/,requested,Cornus unalaschkensis,Cornus unalaschkensis Ledeb.,Cornus unalaschkensis,Cornus unalaschkensis,Cornus
Cornus suecica,,,L.,,NA,dwarf bog bunchberry,Cornaceae,Y,Y,NA,NA,/,requested,Cornus suecica,Cornus suecica L.,Cornus suecica,Cornus suecica,Cornus
Cornus nuttallii,,,Audubon ex Torr. & A. Gray,,NA,Pacific flowering dogwood,Cornaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Cornus nuttallii,Cornus nuttallii Audubon ex Torr. & A. Gray,Cornus nuttallii,Cornus nuttallii,Cornus
Cornus sericea,,,L.,,NA,red-osier dogwood/red willow,Cornaceae,Y,Y,NA,NA,Increasing (Least Concern),requested,Cornus sericea,Cornus sericea L.,Cornus sericea,Cornus sericea,Cornus
Corylus cornuta,,,Marhs.,,NA,beaked hazelnut,Betulaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Corylus cornuta,Corylus cornuta Marhs.,Corylus cornuta,Corylus cornuta,Corylus
Crataegus douglasii,,,Lindl.,,NA,black hawthorn,Rosaceae,Y,Y,NA,NA,Stable (Least Concern),requested,Crataegus douglasii,Crataegus douglasii Lindl.,Crataegus douglasii,Crataegus douglasii,Crataegus
