Species,Ssp,Var,author,Ssp_author,Synonym (scientific name),Common (Western) name,Family,Covered in TRY?,Covered in Native American Ethnobotany database?,Covered in Pierce et al. 2017?,Covered in knb?,IUCN Status,TRY data available,Species_full,Species_full_author,Synonym,original_name,Genus
Ribes glandulosum,,,Grauer,,NA,skunk currant,Grossulariaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Ribes glandulosum,Ribes glandulosum Grauer,Ribes glandulosum,Ribes glandulosum,Ribes
Ribes sanguineum,,,Pursh,,NA,red-flowering currant,Grossulariaceae,Y,Y,NA,NA,/,requested,Ribes sanguineum,Ribes sanguineum Pursh,Ribes sanguineum,Ribes sanguineum,Ribes
Ribes triste,,,Pall.,,NA,northern red currant,Grossulariaceae,Y,Y,NA,NA,/,requested,Ribes triste,Ribes triste Pall.,Ribes triste,Ribes triste,Ribes
Rosa acicularis,,,Lindl.,,NA,prickly rose,Rosaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Rosa acicularis,Rosa acicularis Lindl.,Rosa acicularis,Rosa acicularis,Rosa
Rosa nutkana,,,C. Presl,,NA,Nootka rose,Rosaceae,Y,Y,NA,NA,/,requested,Rosa nutkana,Rosa nutkana C. Presl,Rosa nutkana,Rosa nutkana,Rosa
Rosa pisocarpa,,,A. Gray,,NA,swamp rose,Rosaceae,Y,Y,NA,NA,/,requested,Rosa pisocarpa,Rosa pisocarpa A. Gray,Rosa pisocarpa,Rosa pisocarpa,Rosa
Rosa woodsii,,,Lindl.,,NA,Wood’s rose,Rosaceae,Y,Y,NA,NA,/,requested,Rosa woodsii,Rosa woodsii Lindl.,Rosa woodsii,Rosa woodsii,Rosa
Rosa gymnocarpa,,,Nutt.,,NA,"dwarf wild rose, or baldhip rose",Rosaceae,Y,Y,NA,NA,/,requested,Rosa gymnocarpa,Rosa gymnocarpa Nutt.,Rosa gymnocarpa,Rosa gymnocarpa,Rosa
Rubus arcticus,,,L. ssp. acaulis (Michx.) Focke,,NA,"nagoonberry, dwarf raspberry",Rosaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Rubus arcticus,Rubus arcticus L. ssp. acaulis (Michx.) Focke,Rubus arcticus,Rubus arcticus,Rubus
Rubus chamaemorus,,,L.,,NA,"cloudberry, or bakeapple",Rosaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Rubus chamaemorus,Rubus chamaemorus L.,Rubus chamaemorus,Rubus chamaemorus,Rubus
Rubus idaeus,,,L.,,NA,"wild raspberry, or American red raspberry",Rosaceae,Y,Y,NA,NA,/,requested,Rubus idaeus,Rubus idaeus L.,Rubus idaeus,Rubus idaeus,Rubus
Rubus leucodermis,,,Douglas ex Torr. & A. Gray,,NA,"blackcap, or black raspberry",Rosaceae,Y,Y,NA,NA,/,requested,Rubus leucodermis,Rubus leucodermis Douglas ex Torr. & A. Gray,Rubus leucodermis,Rubus leucodermis,Rubus
Rubus parviflorus,,,Nutt.,,NA,thimbleberry,Rosaceae,Y,Y,NA,NA,/,requested,Rubus parviflorus,Rubus parviflorus Nutt.,Rubus parviflorus,Rubus parviflorus,Rubus
Rubus pedatus,,,Sm.,,NA,trailing raspberry,Rosaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Rubus pedatus,Rubus pedatus Sm.,Rubus pedatus,Rubus pedatus,Rubus
Rubus pubescens,,,Raf.,,NA,dwarf red raspberry,Rosaceae,Y,Y,NA,NA,Unknown (Least Concern),requested,Rubus pubescens,Rubus pubescens Raf.,Rubus pubescens,Rubus pubescens,Rubus
Rubus spectabilis,,,Pursh,,NA,salmonberry,Rosaceae,Y,Y,NA,NA,/,requested,Rubus spectabilis,Rubus spectabilis Pursh,Rubus spectabilis,Rubus spectabilis,Rubus
Rubus ursinus,,,Cham. & Schltdl.,,NA,trailing blackberry,Rosaceae,Y,Y,NA,NA,/,requested,Rubus ursinus,Rubus ursinus Cham. & Schltdl.,Rubus ursinus,Rubus ursinus,Rubus
