Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Asarum caudatum,Aristolochiaceae,23,12,28,Asarum caudatum,NA,19.927962701663024,woody,172.5952572029817,15.940579241418378,4.476998246691822,2336.964611258296,40
Asclepias speciosa,Apocynaceae,5,4,61,Asclepias speciosa,NA,20.236143435638244,non-woody,94.20636835926018,6.919099999999999,1.82,5116.917258500697,41
Athyrium filix-femina subsp. cyclosorum,Dryopteridaceae,30,19,1,Athyrium filix-femina,subsp. cyclosorum,21.03196372034994,non-woody,70.84402961881474,4.682481113861784,1.0707091925456556,11834.320382950651,42
Balsamorhiza sagittata,Compositae,31,13,109,Balsamorhiza sagittata,NA,20.692018549185693,non-woody,38.67349922529337,4.827299999999999,0.6,6992.420000000004,43
Betula nana,Betulaceae,13,11,7,Betula nana,NA,22.6860961,woody,397.52528115384587,0.2214,0.394932857,51.78000000000001,44
Betula occidentalis,Betulaceae,8,7,12,Betula occidentalis,NA,21.03829514492672,woody,293.1680992711052,0.2168,12.345039490000001,3754.450017127539,45
Betula papyrifera,Betulaceae,56,35,174,Betula papyrifera,NA,23.83371477,woody,400.62000000000006,0.3277999999999999,14.69789012,2536.38,46
Betula pumila var. glandulifera,Betulaceae,13,11,3,Betula pumila,var. glandulifera,20.41493053491392,woody,263.4177370826911,25.024790634500576,10.229402966647772,2840.098520427401,47
Blechnum spicant,Blechnaceae,16,12,17,Blechnum spicant,NA,19.45569399235161,non-woody,101.6731782878446,5.1499999999999964e-6,0.371950331,6742.281170433485,48
Boschniakia hookeri,Orobanchaceae,8,5,3,Boschniakia hookeri,NA,20.781923395906396,non-woody,43.96253527214473,2.8167470705232214,0.6928433985654823,2360.848250375141,49
Boschniakia rossica,Orobanchaceae,8,5,1,Boschniakia rossica,NA,20.781923395906396,non-woody,43.96253527214473,2.8167470705232214,0.6928433985654823,2360.848250375141,50
Bromus carinatus,Poaceae,5,6,4,Bromus carinatus,NA,21.18368405307617,non-woody,0.23272,5.907899999999999,1.205,1716.0000000000002,51
Calamagrostis rubescens,Poaceae,18,12,9,Calamagrostis rubescens,NA,20.74498362720109,non-woody,58.95664156475068,0.17,0.91,2017.67688770152,52
Calochortus macrocarpus,Liliaceae,10,8,17,Calochortus macrocarpus,NA,20.66679114617055,non-woody,43.22195622410498,2.24,0.54,2251.8031132230462,53
Calypso bulbosa,Orchidaceae,16,10,1,Calypso bulbosa,NA,20.289384001589042,non-woody,100.55010214647076,5.999999999999997e-4,1.1342404081588893,10662.267694119937,54
Camassia leichtlinii,Asparagaceae,65,33,12,Camassia leichtlinii,NA,20.925975032911822,non-woody,45.56566082608718,9.35,0.8731694571668505,3955.4910087493636,55
Camassia quamash,Asparagaceae,65,16,50,Camassia quamash,NA,20.852792237248824,non-woody,44.569390830890185,3.9889999999999994,0.7,3673.4602235877737,56
Campanula rotundifolia,Campanulaceae,5,4,10,Campanula rotundifolia,NA,19.69810933,non-woody,236.96265356272698,0.05460000000000001,0.227134281,62.66999999999999,57
Carex obnupta,Cyperaceae,46,26,10,Carex obnupta,NA,19.43615382106527,non-woody,44.04723527352136,0.35280000000000006,0.91,2345.6428063943554,58
Carex rostrata,Cyperaceae,46,26,4,Carex rostrata,NA,19.26761453,non-woody,0.23774622899999998,1.034,0.468669026,1698.7700000000004,59
Castilleja hispida,Orobanchaceae,21,15,3,Castilleja hispida,NA,19.771899648727125,non-woody,57.4001003062965,0.3592,0.45,1460.7076752293526,60
Castilleja miniata,Orobanchaceae,21,15,19,Castilleja miniata,NA,20.21176887051353,non-woody,56.21769069768976,0.2496,0.58762331282554,1669.0178805854657,61
Ceanothus sanguineus,Rhamnaceae,23,10,5,Ceanothus sanguineus,NA,20.48179775386407,woody,177.77371780883152,3.3746999999999994,3.04,2356.412950144308,62
Ceanothus velutinus,Rhamnaceae,23,10,5,Ceanothus velutinus,NA,20,woody,175.61201760601912,4.8155,3.0199337739999996,2321.789414963805,63
Chamaecyparis nootkatensis,Cupressaceae,42,47,62,Chamaecyparis nootkatensis,NA,17.934931903239512,woody,199.73386164001957,20.245205598176526,9.94348573217922,1689.3694549523577,64
Chenopodium capitatum,Amaranthaceae,15,10,12,Chenopodium capitatum,NA,19.102805040822883,non-woody,54.2083304788511,0.22840000000000002,0.378224476,1161.538340052889,65
Chimaphila umbellata,Ericaceae,16,11,70,Chimaphila umbellata,NA,11.8577412,woody,190.85527206605406,9.005875388525615,0.09563748900000002,122.50999999999999,66
Cicuta douglasii,Apiaceae,28,19,31,Cicuta douglasii,NA,16.65266484722258,non-woody,83.49239732064821,2.9335,1.82,8416.120745436509,67
Cicuta virosa,Apiaceae,28,19,6,Cicuta virosa,NA,18.91979529523207,non-woody,0.12123720099999998,1.036,0.876134937,17017.660000000007,68
Cirsium arvense,Compositae,44,28,11,Cirsium arvense,NA,24.72195493,non-woody,105.70997219981496,1.6595,0.652958113,5570.160000000002,69
Cirsium brevistylum,Compositae,44,28,6,Cirsium brevistylum,NA,21.29223008425164,non-woody,49.794455679528426,1.5792,0.8089550334208624,3360.0764209141066,70
Cirsium edule,Asteraceae,44,28,10,Cirsium edule,NA,21.44857810620788,non-woody,49.123352432706696,4.926190662594556,0.8785253867313286,3704.1285039478116,71
Cirsium hookerianum,Asteraceae,44,28,6,Cirsium hookerianum,NA,21.44857810620788,non-woody,49.123352432706696,4.926190662594556,0.8785253867313286,3704.1285039478116,72
Cirsium undulatum,Compositae,44,28,16,Cirsium undulatum,NA,23.55,non-woody,58.188726348041,5.4403,1.2,4844.668570373573,73
Cirsium vulgare,Compositae,44,28,20,Cirsium vulgare,NA,17.26,non-woody,0.131397251,2.6402,0.92238856,6798.489999999998,74
