"","LastName","FirstName","DatasetID","Dataset","species","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr"
"26","Cornelissen","Johannes",72,"Sheffield & Spain Woody Database","Empetrum nigrum",20484,"Empetrum nigrum",941203,5617673,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","Stem density mg/mm3)","0.310053225","mg/mm3","Single",NA,NA,NA,0.310053225,"g/cm3",NA,NA,1.34713,"Castro-Diez, P., J. P. Puyravaud, J. H. C. Cornelissen, and P. Villar-Salvador. 1998. Stem anatomy and relative growth rate in seedlings of a wide range of woody plant species and types. Oecologia 116:57-66.",NA,NA
"27","Ordonez","Jenny",88,"The Netherlands Plant Traits Database","Equisetum arvense",20927,"Equisetum arvense",943554,5800246,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","SSD","0.203135314","mg/mm3","Single",NA,NA,NA,0.203135314,"g/cm3",NA,NA,10.7602,"Ordonez, J. C., P. M. van Bodegom, J. P. M. Witte, R. P. Bartholomeus, J. R. van Hal, and R. Aerts. 2010. Plant Strategies in Relation to Resource Supply in Mesic to Wet Environments: Does Theory Mirror Nature? American Naturalist 175:225-239.","stem density",NA
"28","Ordonez","Jenny",88,"The Netherlands Plant Traits Database","Fragaria vesca",25213,"Fragaria vesca",943482,5798586,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","SSD","0.269642857","mg/mm3","Single",NA,NA,NA,0.269642857,"g/cm3",NA,NA,2.63468,"Ordonez, J. C., P. M. van Bodegom, J. P. M. Witte, R. P. Bartholomeus, J. R. van Hal, and R. Aerts. 2010. Plant Strategies in Relation to Resource Supply in Mesic to Wet Environments: Does Theory Mirror Nature? American Naturalist 175:225-239.","stem density",NA
"29","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Fragaria virginiana",25214,"Fragaria virginiana",757396,3438827,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","Stem density","1.253190368","g/cm3","Single",NA,NA,NA,1.253190368,"g/cm3",NA,NA,4.13592,"unpub.",NA,NA
"30","Cornwell","Will",55,"Jasper Ridge Californian Woody Plants Database","Holodiscus discolor",29319,"Holodiscus discolor",218199,2312261,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","wood.density","0.7","g / cm3","Single",NA,NA,NA,0.7,"g/cm3",NA,NA,1.32861,"Preston, K. A., W. K. Cornwell, and J. L. DeNoyer. 2006. Wood density and vessel traits as distinct correlates of ecological strategy in 51 California coast range angiosperms. New Phytologist 170:807-818.","wood density, sampled on third year shoots",NA
"31","Zanne","Amy",61,"Global Wood Density Database","Holodiscus discolor",29319,"Holodiscus discolor",743652,3349770,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.71","g/cm^3","Single",NA,NA,NA,0.71,"g/cm3",NA,NA,1.36211,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"32","Cornelissen","Johannes",37,"Sheffield Database","Juniperus communis",31556,"Juniperus communis",16014,454157,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","Wood density","600","kg/m3","Single",NA,NA,NA,0.6,"g/cm3",NA,56112135,0.942191,"Cornelissen, J. H. C., B. Cerabolini, P. Castro-Diez, P. Villar-Salvador, G. Montserrat-Marti, J. P. Puyravaud, M. Maestro, M. J. A. Werger, and R. Aerts. 2003. Functional traits of woody plants: correspondence of species rankings between field adults and laboratory-grown seedlings? Journal of Vegetation Science 14:311-322.",NA,NA
"33","Zanne","Amy",61,"Global Wood Density Database","Juniperus communis",31556,"Juniperus communis",744336,3351138,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.5166","g/cm^3","Single",NA,NA,NA,0.5166,"g/cm3",NA,NA,0.591254,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"34","Peñuelas","Josep",91,"Catalonian Mediterranean Forest Trait Database","Juniperus communis",31556,"Juniperus communis",945686,5821764,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WOODDENSITY","0.58","t/m3","Single",NA,NA,NA,0.58,"g/cm3",NA,NA,0.864675,"Ogaya, R. and J. Penuelas. 2003. Comparative field study of Quercus ilex and Phillyrea latifolia: photosynthetic response to experimental drought conditions. Environmental and Experimental Botany 50:137-148.",NA,NA
"35","Zanne","Amy",61,"Global Wood Density Database","Larix laricina",32372,"Larix laricina",744596,3351658,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.57","g/cm^3","Single",NA,NA,NA,0.57,"g/cm3",NA,NA,5.48454,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"36","Reich","Peter",94,"Global A, N, P, SLA Database","Larix laricina",32372,"Larix laricina",949676,5857199,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WoodDensity(kg/m3)Round","550","kg/m3","Single",NA,NA,NA,0.55,"g/cm3",NA,NA,5.32867,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",NA,NA
"37","Zanne","Amy",61,"Global Wood Density Database","Larix occidentalis",32376,"Larix occidentalis",744599,3351664,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.59","g/cm^3","Single",NA,NA,NA,0.59,"g/cm3",NA,NA,2.0758,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"38","Zanne","Amy",61,"Global Wood Density Database","Larix occidentalis",32376,"Larix occidentalis",744600,3351666,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","WSG (g/cm^3)","0.48","g/cm^3","Single",NA,NA,NA,0.48,"g/cm3",NA,NA,1.36811,"Chave, J., D. Coomes, S. Jansen, S. L. Lewis, N. G. Swenson, and A. E. Zanne. 2009. Towards a world wide wood economics spectrum. Ecology Letters 12:351-366.",NA,NA
"39","Cornwell","Will",55,"Jasper Ridge Californian Woody Plants Database","Oemleria cerasiformis",38662,"Oemleria cerasiformis",218203,2312332,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","wood.density","0.74","g / cm3","Single",NA,NA,NA,0.74,"g/cm3",NA,NA,1.45986,"Preston, K. A., W. K. Cornwell, and J. L. DeNoyer. 2006. Wood density and vessel traits as distinct correlates of ecological strategy in 51 California coast range angiosperms. New Phytologist 170:807-818.","wood density, sampled on third year shoots",NA
"40","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Phalaris arundinacea",41425,"Phalaris arundinacea",758758,3454767,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","stem.density","1.87E-03","g/cm3","Single",NA,NA,NA,0.00187,"g/cm3",NA,NA,19.8019,"unpub.","g cm^-3",NA
"41","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Phalaris arundinacea",41425,"Phalaris arundinacea",758761,3454803,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","stem.density","4.93E-03","g/cm3","Single",NA,NA,NA,0.00493,"g/cm3",NA,NA,15.5644,"unpub.","g cm^-3",NA
"42","Ordonez","Jenny",88,"The Netherlands Plant Traits Database","Phalaris arundinacea",41425,"Phalaris arundinacea",943620,5801771,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","SSD","0.462786885","mg/mm3","Single",NA,NA,NA,0.462786885,"g/cm3",NA,NA,4.25229,"Ordonez, J. C., P. M. van Bodegom, J. P. M. Witte, R. P. Bartholomeus, J. R. van Hal, and R. Aerts. 2010. Plant Strategies in Relation to Resource Supply in Mesic to Wet Environments: Does Theory Mirror Nature? American Naturalist 175:225-239.","stem density",NA
"43","Ordonez","Jenny",88,"The Netherlands Plant Traits Database","Phalaris arundinacea",41425,"Phalaris arundinacea",943629,5801978,4,"Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density",4,"Wood density; stem specific density; wood specific gravity (SSD)","SSD","0.334519573","mg/mm3","Single",NA,NA,NA,0.334519573,"g/cm3",NA,NA,2.8359,"Ordonez, J. C., P. M. van Bodegom, J. P. M. Witte, R. P. Bartholomeus, J. R. van Hal, and R. Aerts. 2010. Plant Strategies in Relation to Resource Supply in Mesic to Wet Environments: Does Theory Mirror Nature? American Naturalist 175:225-239.","stem density",NA
