"","LastName","FirstName","DatasetID","Dataset","species","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk","Reference","Comment","StdValueStr"
"11","Kleyer","Michael",25,"The LEDA Traitbase","Achillea millefolium",909,"Achillea millefolium",1105579,1873826,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","single value [mg/g]","175","mg/g","Median",NA,NA,NA,0.175,"g/g",NA,1873816,1.6125,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.",NA,NA
"12","Kleyer","Michael",25,"The LEDA Traitbase","Achillea millefolium",909,"Achillea millefolium",178319,1873834,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","single value [mg/g]","196","mg/g","Best estimate",NA,NA,NA,0.196,"g/g",NA,20459286,0.953387,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.",NA,NA
"13","Kleyer","Michael",25,"The LEDA Traitbase","Achillea millefolium",909,"Achillea millefolium",1105580,1873841,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","single value [mg/g]","196","mg/g","Mean",NA,NA,NA,0.196,"g/g",NA,20459286,0.953387,"Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. van Groenendael, L. Klimes, J. Klimesova, S. Klotz, G. M. Rusch, Hermy, M. , D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Götzenberger, J. G. Hodgson, A.-K. Jackel, I. Kühn, D. Kunzmann, W. A. Ozinga, C. Römermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: a database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274.",NA,NA
"14","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Achillea millefolium",909,"Achillea millefolium",757712,3442874,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","DMC","31.26582278","%","Single",NA,NA,NA,0.312658228,"g/g",NA,NA,1.78815,"unpub.","leaf dry matter content, percent",NA
"15","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Achillea millefolium",909,"Achillea millefolium",757713,3442884,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","DMC","31.37516689","%","Single",NA,NA,NA,0.313751669,"g/g",NA,NA,1.80861,"unpub.","leaf dry matter content, percent",NA
"16","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Achillea millefolium",909,"Achillea millefolium",757714,3442894,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","DMC","22.67839687","%","Single",NA,NA,NA,0.226783969,"g/g",NA,NA,0.426352,"unpub.","leaf dry matter content, percent",NA
"17","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Achillea millefolium",909,"Achillea millefolium",757715,3442908,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","DMC","30.34825871","%","Single",NA,NA,NA,0.303482587,"g/g",NA,NA,1.6136,"unpub.","leaf dry matter content, percent",NA
"18","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Achillea millefolium",909,"Achillea millefolium",757716,3442922,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","DMC","25.83333333","%","Single",NA,NA,NA,0.258333333,"g/g",NA,NA,0.685884,"unpub.","leaf dry matter content, percent",NA
"19","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Achillea millefolium",909,"Achillea millefolium",757717,3442936,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","DMC","20.76388889","%","Single",NA,NA,NA,0.207638889,"g/g",NA,NA,0.621821,"unpub.","leaf dry matter content, percent",NA
"20","Weiher","Evan",66,"Midwestern and Southern US Herbaceous Species Trait Database","Achillea millefolium",909,"Achillea millefolium",757718,3442950,47,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",258,"Leaf dry matter content per leaf water-saturated mass (LDMC)","DMC","26.10759494","%","Single",NA,NA,NA,0.261075949,"g/g",NA,NA,0.731613,"unpub.","leaf dry matter content, percent",NA
