Species
Ribes divaricatum  
Ribes lobbii  
Ribes inerme  
Ribes oxyacanthoides  
Ribes hudsonianum  
Ribes lacustre  
Ribes laxiflorum  
Ribes glandulosum  
Ribes sanguineum  
Ribes triste  
Rosa acicularis  
Rosa nutkana  
Rosa pisocarpa  
Rosa woodsii  
Rosa gymnocarpa  
Rubus arcticus  
Rubus chamaemorus  
Rubus idaeus  
Rubus leucodermis  
Rubus parviflorus  
Rubus pedatus  
Rubus pubescens  
Rubus spectabilis  
Rubus ursinus  
Rumex aquaticus  
Sagittaria latifolia  
Sagittaria cuneata  
Salix barclayi  
Salix bebbiana  
Salix discolor  
Salix hookeriana  
Salix scouleriana  
Salix sitchensis  
Salix exigua  
Salix lucida  
Sambucus nigra  
Sambucus racemosa  
Schoenoplectus acutus  
Schoenoplectus americanus  
Scirpus microcarpus  
Sedum divergens  
Sedum oreganum  
Shepherdia canadensis  
Sium suave  
Solidago canadensis  
Sorbus sitchensis  
Sorbus scopulina  
Spiraea betulifolia  
Spiraea douglasii  
Stachys chamissonis  
Streptopus amplexifolius  
Streptopus streptopoides  
Symphoricarpos albus  
Thalictrum occidentale  
Toxicodendron rydbergii  
Trifolium wormskioldii  
Triglochin maritima  
Trillium ovatum  
Trillium petiolatum  
Triteleia grandiflora  
Typha latifolia  
Urtica dioica  
Vaccinium alaskaense  
Vaccinium caespitosum  
Vaccinium membranaceum  
Vaccinium myrtilloides  
Vaccinium ovalifolium  
Vaccinium ovatum  
Vaccinium oxycoccos  
Vaccinium parvifolium  
Vaccinium scoparium  
Vaccinium myrtillus  
Vaccinium uliginosum  
Vaccinium vitis-idaea  
Valeriana edulis  
Valeriana sitchensis  
Veratrum viride  
Viburnum edule  
Viburnum opulus  
Vicia nigricans ssp. gigantea 
Viola adunca  
Xerophyllum tenax  
Zigadenus venenosus  
Zigadenus elegans  
Zostera marina  
Hierochloe odorata  
Rhododendron columbianum  
