Species,Number of unique names (Indigenous),Number of unique  languages (from Appendix 2B),Number of names (common),Number of uses
Lomatium macrocarpum,10,8,,40
Lomatium nudicaule,25,18,,54
Lonicera ciliosa,36,18,,25
Lonicera involucrata,68,34,,72
Lupinus nootkatensis,18,12,,2
Lupinus polyphyllus,22,14,,6
Lysichiton americanus,78,44,,111
Mahonia aquifolium,68,29,,58
Mahonia nervosa,68,29,,33
Maianthemum dilatatum,42,21,,15
Maianthemum racemosum ssp. amplexicaule,38,21,,3
Malus fusca,95,33,,90
Mentha arvensis,30,19,,208
Menziesia ferruginea ,20,17,,9
Moneses uniflora,11,10,,14
Monotropa uniflora,5,4,,12
Myrica gale,5,5,,8
Nicotiana attenuata,56,32,,76
Nicotiana quadrivalvis,56,32,,11
Nicotiana tabacum,56,32,,44
Nuphar lutea,62,39,,1
Oemleria cerasiformis,23,14,,26
Oenanthe sarmentosa,13,10,,17
Oplopanax horridus,68,44,,157
Opuntia fragilis,16,13,,14
Opuntia polyacantha,16,13,,46
Osmorhiza berteroi,11,8,,23
Osmorhiza occidentalis,8,6,,70
Oxalis oregana,7,5,,18
Oxyria digyna,8,4,,11
Paxistima myrsinites,10,5,,16
Penstemon fruticosus,11,4,,27
Perideridia gairdneri,28,16,,39
Petasites frigidus,21,14,,13
Phalaris arundinacea,21,15,,3
Philadelphus lewisii,22,15,,48
Phyllospadix scouleri,10,5,,4
Physocarpus capitatus,12,11,,19
Physocarpus malvaceus,12,11,,3
Plantago major,37,23,,93
Plantago maritima,6,4,,2
Platanthera dilatata,8,6,,2
Platanthera stricta,8,6,,1
Platanthera hyperborea,8,6,,NA
Populus balsamifera,94,51,,64
Populus balsamifera ssp. trichocarpa,94,51,,92
Populus tremuloides,55,32,,117
Potamogeton natans,9,7,,2
Prunus emarginata,80,35,,95
Prunus pensylvanica,80,35,,52
Prunus virginiana,46,20,,165
Pseudoroegneria spicata,11,9,,2
Pterospora andromedea,5,5,,15
Purshia tridentata,7,3,,59
Pyrola asarifolia,7,7,,7
Quercus garryana,17,11,,26
Ranunculus glaberrimus,20,9,,6
Ranunculus acris,10,4,,14
Ranunculus occidentalis,10,4,,2
Rhodiola rosea,10,4,,12
Rhododendron albiflorum,5,3,,12
Rhododendron groenlandicum,92,43,,NA
Rhododendron neoglandulosum,92,43,,NA
Rhus glabra,7,6,,108
Ribes aureum,9,6,,22
Ribes bracteosum,52,26,,24
Ribes cereum,16,8,,21
Ribes divaricatum,89,41,,40
Ribes lobbii,89,41,,16
Ribes inerme,89,41,,7
Ribes oxyacanthoides,89,41,,13
Ribes hudsonianum,34,19,,24
Ribes lacustre,75,31,,40
Ribes laxiflorum,52,21,,19
Ribes glandulosum,52,21,,6
Ribes sanguineum,26,11,,17
Ribes triste,19,9,,22
Rosa acicularis,164,57,,67
Rosa nutkana,164,57,,71
Rosa pisocarpa,164,57,,25
Rosa woodsii,164,57,,60
Rosa gymnocarpa,28,11,,33
Rubus arcticus,17,7,,14
Rubus chamaemorus,27,14,,33
Rubus idaeus,77,42,,72
Rubus leucodermis,66,30,,68
Rubus parviflorus,152,49,,103
Rubus pedatus,21,12,,5
Rubus pubescens,12,7,,13
Rubus spectabilis,170,41,,99
Rubus ursinus,65,27,,24
Rumex aquaticus,35,24,,25
Sagittaria latifolia,34,17,,34
Sagittaria cuneata,34,17,,13
Salix barclayi,118,49,,NA
Salix bebbiana,118,49,,22
Salix discolor,118,49,,27
Salix hookeriana,118,49,,10
Salix scouleriana,118,49,,33
Salix sitchensis,118,49,,28
Salix exigua,17,7,,57
Salix lucida,39,25,,8
Sambucus nigra,38,23,,13
Sambucus racemosa,97,43,,72
Schoenoplectus acutus,59,31,,70
Schoenoplectus americanus,8,6,,15
Scirpus microcarpus,22,16,,9
Sedum divergens,16,11,,11
Sedum oreganum,16,11,,NA
Shepherdia canadensis,94,46,,127
Sium suave,12,10,,21
Solidago canadensis,13,5,,29
Sorbus sitchensis,50,27,,13
Sorbus scopulina,50,27,,5
Spiraea betulifolia,17,10,,13
Spiraea douglasii,14,13,,5
Stachys chamissonis,10,11,,NA
Streptopus amplexifolius,42,19,,24
Streptopus streptopoides,42,19,,NA
Symphoricarpos albus,84,34,,79
Thalictrum occidentale,3,3,,14
Toxicodendron rydbergii,21,9,,3
Trifolium wormskioldii,16,12,,21
Triglochin maritima,8,7,,6
Trillium ovatum,16,11,,10
Trillium petiolatum,16,11,,1
Triteleia grandiflora,9,6,,11
Typha latifolia,107,43,,254
Urtica dioica,84,53,,63
Vaccinium alaskaense,54,24,,NA
Vaccinium caespitosum,59,29,,25
Vaccinium membranaceum,85,41,,43
Vaccinium myrtilloides,37,18,,40
Vaccinium ovalifolium,97,46,,75
Vaccinium ovatum,21,10,,32
Vaccinium oxycoccos,75,37,,59
Vaccinium parvifolium,82,37,,58
Vaccinium scoparium,11,7,,13
Vaccinium myrtillus,11,7,,1
Vaccinium uliginosum,58,26,,36
Vaccinium vitis-idaea,36,18,,30
Valeriana edulis,14,8,,18
Valeriana sitchensis,14,7,,25
Veratrum viride,59,38,,121
Viburnum edule,96,41,,63
Viburnum opulus,96,41,,15
Vicia nigricans ssp. gigantea,23,13,,8
Viola adunca,8,7,,9
Xerophyllum tenax,27,20,,26
Zigadenus venenosus,17,13,,30
Zigadenus elegans,17,13,,12
Zostera marina,26,16,,12
,,,,
Species extracted from,,,,
"There are also algae, lichens, fungi and bryophytes listed in the document. We could decide to omit these",,,,
